anyo,alumno,curso,contenido,nota_numerica,evaluacion
2025_26,5ac34ee7e62bdd1b65552dc909caeb1a0ac0af27df4f603ddc212d3b55eeff9b,3306170521,028502,0,01
2025_26,5ac34ee7e62bdd1b65552dc909caeb1a0ac0af27df4f603ddc212d3b55eeff9b,3306170521,028100,0,01
2025_26,cb2f3622fd46e5a188a70951f1a0a4f1667d5b798042e4adb17bb3dd225b52ca,3306170521,028502,4,01
2025_26,aff61f02da7c1dd91f488081256c56e4c2ba9ec373690b6294f43fe9cbbfa259,3306170521,028502,4,01
2025_26,3bedc53d2b1eeba0ff31d994b18cb626e2818a1dc482c4ac9cb06fc5656634aa,3306170521,028100,4,01
2025_26,8ca8629f0f65eda3b36ebe943e02eb51d2013c8dd12919796d764412e70b9104,3306170619,0179,6,01
2025_26,9debc5f8bb923c70db668d08a54a20846a9610b4dc47f242e1693d955305a86a,3306170521,028505,7,01
2025_26,8926f9a7a704a09ea3b42a86c9adc638ab072753a1b4f3d39cd3318e08adc6ee,3306170521,028505,3,01
2025_26,48b73079c4660ac35b1e4638cc1950b62d85c757cfeaa52f18094bcfcc5adfdc,3306170521,028501,3,01
2025_26,a637be37e4c089e89341a092cbca97996ab1827967a7474345035dd046fef8fe,3306170521,028501,6,01
2025_26,7db971b21cf92c7681b1a9d04220b8b08bd1d2f48585bd60dfe0f4d239864a73,3306170521,028501,0,01
2025_26,bda256ea54b837bf330a0e65e9671f152d987a26af725fe6dda7adb8023da25f,3306170521,028501,8,01
2025_26,5b8172cb7a0521d71922f0c7ac97b0f2661b737c5806b00a9c23c1ce4ea275ca,3306170521,028501,9,01
2025_26,2527e406af7bfba88ff27376a426f845411e9752dc849bc6ae36d3655f135c5e,3306170521,028100,1,01
2025_26,98d9213f705ab8b2f6291e2c25c5af23def7f55fc899f5dd9b65c84ad120f603,3306170521,028100,9,01
2025_26,baedc5903d15e1567bef65830f3c1053a288f55cbd6802f55ee81fbce4d76493,3306170521,028100,7,01
2025_26,04946fba826f68b406956db6c36b6c166c3fc8e2f9072f511d0fa30e058a8bc0,3306170521,028503,7,01
2025_26,49c5799d463b0f152bf30315f8361d2607edfb1792c416d0da1df4b6bd3513ec,3306170521,028504,9,01
2025_26,0d7c13979908103b1d7d8168996c4238bb04455e573468238311bee7b0f968ba,3306170521,028504,5,01
2025_26,8ac3d28bd9c47a5ef9902a0e8591a636026398954c8df7c6447c9a6da3957933,3306170521,028504,7,01
2025_26,cd303b5315bcf55b62bc9b9c50354fdd57acedbcd7f92ef113c80d34bd91b126,3306170521,028504,9,01
2025_26,bda256ea54b837bf330a0e65e9671f152d987a26af725fe6dda7adb8023da25f,3306170521,028001,7,01
2025_26,b25ea42b8fc14bd6e9ef389f79b2d0fa7e6b578949776c63c0ba827a5c21e27b,3306170521,028001,8,01
2025_26,3dd58e718a3c96d8b7406e13433c7930bc55c903e747611ec6ead0019ec91ed2,3306170521,028001,8,01
2025_26,c3ddf6ae9243b56f4898c5306eb81b3691b99d1f63a001f94a91af3a729a5874,3306170521,028502,8,01
2025_26,7b6a746112364849d3d4c652dced9e8ebfcf8947f0bf69c4b549b9f083800216,3306170521,028502,4,01
2025_26,cd303b5315bcf55b62bc9b9c50354fdd57acedbcd7f92ef113c80d34bd91b126,3306170521,028505,8,01
2025_26,b25ea42b8fc14bd6e9ef389f79b2d0fa7e6b578949776c63c0ba827a5c21e27b,3306170521,028505,8,01
2025_26,2d72f2453f670d755fe9cb074194ce16dc7cba3b86637b21b0b87b34c661a25e,3306170521,028504,0,01
2025_26,e126f996595f7a88f1b742723a734a63cc94d4c2a04768c36d94924faaa567b8,3306170521,028505,8,01
2025_26,de9c3907f562e486a093626e76795cd34b1dcc3a7e947a97c738e46308bfeaca,3306170521,028505,8,01
2025_26,32b5edd5bee9739a8eef7108b9520ce97700e6e5903af79e36fa964db42951c4,3306170521,028505,8,01
2025_26,186abf87a350419f70914aa6a7328eb8de89b3bf888d0ef26919b2a1a114a915,3306170521,028503,8,01
2025_26,15b96f395e4a9b4284bd3d279425ca20fd94bbf2455856a64cf52ee22cda2c87,3306170619,1370,4,01
2025_26,ab7c5e7f3488e631d96d1a47445b5ce803fe312c3c6cae0eb29e2419eb05dbb3,3306170619,1370,4,01
2025_26,cc7f0e8de5c71ad10c99beada05214d476643738a834b1136de10fde808f0b3b,3306170619,1370,7,01
2025_26,8e14f8473a031e6fc8f0a78a852f8517c0b054f2b6e0a7647dd0d5f866be54d6,3306170619,1367,8,01
2025_26,54349a067b7a114242dc5e5303c37688823f097019818193dffa5fadb8bdd93a,3306170619,0179,9,01
2025_26,c3c72ad80a61762249e2757d4f3965629c259f74808eb56ebaf9177b74395f9e,3306170619,0179,9,01
2025_26,a64fe9ae8d7b5464787bb6e310b678f1013688208a980210492c67808688a5f7,3306170619,0179,4,01
2025_26,33c6e4c027f63adb60292d14cbde392baa44d6704eb1a1dca58e64b58ad4e038,3306170619,0179,8,01
2025_26,241667b006d43473579d2a4776eadbe78a6b7e419cb18eb79a9d7f0a89b664ee,3306170619,0179,4,01
2025_26,d4bbad0529f6fd800827d384619b449fa1de2974843bc7d3fcac6a9794071345,3306170619,1367,4,01
2025_26,a64fe9ae8d7b5464787bb6e310b678f1013688208a980210492c67808688a5f7,3306170619,1367,7,01
2025_26,6a27594cfbf82d4b4c1b0a2429dc3baf2bf5bc3b690cd18b36eeee408c638a56,3306170619,1367,7,01
2025_26,9ec5811c3c02cbda791ecb3d6745e24a4a06d4f994840e114108177f51e0262b,3306170619,1367,7,01
2025_26,60e059d1bc54474f161f98d265058e7a446fdcc442a605f9e1352eb7b242bb93,3306170619,1369,6,01
2025_26,3b78022f36e9e8bd27b66d3ad21d730880c105a69952d4a13673150a2d73e968,3306170619,1369,7,01
2025_26,8fff600bed16552a8a44af2bc446cd5a18fd59999a7d9cb361c29d69c7f00016,3306170619,1709,9,01
2025_26,8fff600bed16552a8a44af2bc446cd5a18fd59999a7d9cb361c29d69c7f00016,3306170619,0179,10,01
2025_26,d81ef893d1f7cba006a3cb892c2c23c295f9245dfd7dd68ccd4a376637f16095,3306170619,0179,8,01
2025_26,8fff600bed16552a8a44af2bc446cd5a18fd59999a7d9cb361c29d69c7f00016,3306170619,1368,9,01
2025_26,d2ad385152055962f2d99bbc16a1c3325852dd3db06ac97c60b48cab21840f31,3306170619,1368,3,01
2025_26,e91ba58c3e7b5dc73bc10817400f1989b4c5aca5eaeeaa0f5e24dcf2a25982d6,3306170619,1368,4,01
2025_26,66cc2865d265da3972b1dc1a69e32dafe2573e5de96ffe4be3a2432fc1e21b0c,3306170619,1368,6,01
2025_26,0d5b5b2d036d44955d1754f745ec7d3776ab024adc77a6794fd0ce6221ad57f3,3306170619,1370,6,01
2025_26,d2ad385152055962f2d99bbc16a1c3325852dd3db06ac97c60b48cab21840f31,3306170619,1375p,0,01
2025_26,0313a3d3a4f62d8a557c28097dc5b4911e5d1f9555a8a0a26491b48e5642dac7,3306170619,1375p,10,01
2025_26,0c09633410adf4b72db5c0929c4a0bde111ceea80fdfebf10c3d54a092d1534d,3306170619,1370,8,01
2025_26,8ca8629f0f65eda3b36ebe943e02eb51d2013c8dd12919796d764412e70b9104,3306170619,1370,4,01
2025_26,6167c9d27cb91387d6784af48213ea4c8299fe1efd32d547e5828e7cb52f5cdc,3306170619,1369,4,01
2025_26,4185e8fe0cfb70268ed5764912dfff02a1816d6f05e98bf1b993d62e75538432,3306170619,1375p,10,01
2025_26,b437954538af098ea4779c88684b9d3cb8c3f2c8cd8ea5b75d5ef72c16aaad90,3306172484,0171,1,01
2025_26,228af0d303e803601fc22add67aa81b72f76b0f22cf548014add45df728a0070,3306172484,0181p,0,01
2025_26,179bcb47efa07209af941aa93953a39bf55a67078269246da2014a4f9330fd65,3306172484,0172,3,01
2025_26,24954405527efcf1156cb40f5cf5d303fbdb2840c01c450c837b3737b6582aab,3306172484,0172,9,01
2025_26,f21a9088f8e91fdf90ea50affcd2a8f1feaf4b257552a7de6c68eaf7cf2da39c,3306172484,0172,8,01
2025_26,f58e4815da1d286a17a81a170b55a32cee2a18ce312c64203582d53729179865,3306172484,1709,0,01
2025_26,f58e4815da1d286a17a81a170b55a32cee2a18ce312c64203582d53729179865,3306172484,0173,0,01
2025_26,0a72cbedd41d9a956009a377a9f91bdafa4a6797f0d9aa8c3108872360a96a09,3306172484,0172,9,01
2025_26,24954405527efcf1156cb40f5cf5d303fbdb2840c01c450c837b3737b6582aab,3306172484,0179,5,01
2025_26,75daab61b41e8783fa9beabfd25a87ec8c1f2d3dd1b58b6feddad69b43b52999,3306172484,0177,10,01
2025_26,04599d524a14501ab7f50c28aedea9d3b0e72f525e5a48c0f6195aa7b7850a5f,3306172332,0384,7,01
2025_26,b644c741b7909a3ee3011ab43d299e86520606392609fda822a6b446290700d3,3306172332,0400p,0,01
2025_26,c0861bda2c6d6ec59413a46bbb9ae7f5d4f23f1a3df6733d65ff02ca1bb451a0,3306172484,0174,4,01
2025_26,24954405527efcf1156cb40f5cf5d303fbdb2840c01c450c837b3737b6582aab,3306172484,0174,4,01
2025_26,b8a88d08af5241709223617befa68e5f0a722d8ead360c6a9d7f2f633bb797f1,3306172332,0179,6,01
2025_26,e54e65978c80b80107214ceaf261d716a76c668e49c6543ba496410238fa0d76,3306172332,0173,8,01
2025_26,4d396e492ae51d2c9fa4a78a95d6bb178e813ff511f5d9a45b54100542a4dd34,3306172403,0171,9,01
2025_26,0538f479a15ba1ca6f061fbb6c112b4b4e3bef3bc2dbec9fdb63bd6684bc866d,3306172403,0171,9,01
2025_26,acbff48c382974534c4475b8c1a9124a27b51a638dba6c21d28f4f9be8c0807f,3306172403,0179,8,01
2025_26,0538f479a15ba1ca6f061fbb6c112b4b4e3bef3bc2dbec9fdb63bd6684bc866d,3306172403,0179,6,01
2025_26,0749dd7d42e7ed184c0b2d2cc77c3cbd8dfbe7a5663691c312dd8d107a835f6b,3306172403,0179,0,01
2025_26,36f4a0e5e6c88186f72e6f51f83d245b0353463ac5a7280a45ba4ff66b2f8e9a,3306172403,0388p,7,01
2025_26,60639bfb5dc9abbcf6a49860321a2a054e505585ff525aba56b047b8270d5d0c,3306172403,0388p,8,01
2025_26,36f4a0e5e6c88186f72e6f51f83d245b0353463ac5a7280a45ba4ff66b2f8e9a,3306172403,0172,7,01
2025_26,60639bfb5dc9abbcf6a49860321a2a054e505585ff525aba56b047b8270d5d0c,3306172403,0172,9,01
2025_26,0d36490a2af88aeb7e5411190a3f6befaf3afd8c21c7778350d71f084a8de905,3306172403,0173,0,01
2025_26,60639bfb5dc9abbcf6a49860321a2a054e505585ff525aba56b047b8270d5d0c,3306172403,0173,8,01
2025_26,f714c01431e10a233b40e709331d3b183c21da87e24794c424dcb9041909ac21,3306172403,0383,4,01
2025_26,ed7a8afba3b42b34310eb0490f2569a9ccc012d458a59148caae9fa85bbc7f0b,3306172053,1231,0,01
2025_26,be86024b185c2777f0285e6434c636cab8a3afc385926385c1deebb1a5fbd1ea,3306172053,1231,3,01
2025_26,8ca685b85919398176e54bb27765832fec61d14a7d0e18184ef7ef0bdd7f97ce,3306172053,0156,0,01
2025_26,a6546d51226e2f31639a41a8734c09f253d098e94c85f6840b0a1034346ed940,3306172053,1233,6,01
2025_26,be86024b185c2777f0285e6434c636cab8a3afc385926385c1deebb1a5fbd1ea,3306172053,1232,3,01
2025_26,b20a171668ba1b9645aec6544170136af26603af65543323dccf7f32d5fde310,3306172053,1232,3,01
2025_26,49c056d4c0d20e981091636ff535ed3934e378ab5d82e9634a801dbc6d7bf8bf,3306172053,1232,0,01
2025_26,2c3a3022cdbb2cb7cfdf2524a1eaba5bf665488a7a37b17a15357e7aab856544,3306172053,1709,6,01
2025_26,49c056d4c0d20e981091636ff535ed3934e378ab5d82e9634a801dbc6d7bf8bf,3306172053,1709,7,01
2025_26,a5723ad11f3b800d43630fe99a72e50417a475ccf88bee5f5743a8be473dc8e4,3306172167,1010,4,01
2025_26,7ece99e699dc74e987ff15eb9338e514e4fafb32530f6b963da765c8102587e0,3306172167,1010,8,01
2025_26,b75dd131b381eec0f23c6680c741d954a46cfeddd87954c10c6900fd27485e74,3306172167,1010,4,01
2025_26,ac4d273ed219a79442d92f16391a8a8bf74d50d9fa628495067d7af2ff7d9b78,3306172167,1010,7,01
2025_26,66acb78e0f2f532fc48be30f026fe4e7b9dc40f8b88aa7a570489f5aac96a3ef,3306172167,0179,0,01
2025_26,54c4944fa6b1588458c7e489e8e3fcb17bc811203ff6765923b891968b8eecf0,3306172167,0179,0,01
2025_26,e6766bb7a662bcc5fef811c4323b2287321f6df94d65de895e6365dde16bea65,3306172167,0623,0,01
2025_26,7ba5fec4c68b2ffacc3722aa61739710ef2821f659a389e247a34ac0ec422157,3306172167,0623,2,01
2025_26,c23fe6438377952a8ec708b5d926a9fd9193a1f756ee34d0638bf17d75b2104a,3306172167,0623,9,01
2025_26,3086fead5c25510ad45d8b6b21798fde3227f36b30777b2e7a04d85aeb7b843c,3306172167,1012p,9,01
2025_26,a6d91449ce19fdefa764a2ca1b330091e37a585bfa65a08cd298768b45c0e25e,3306172167,1010,0,01
2025_26,10037b1abc48ba2d385a1a10faeaa9e7a3df532dfcee168dd2587ffc171940e0,3306172167,1010,0,01
2025_26,3a3defafa340cf2f27cf0a3e826c1ead5c36c0be8acf105d6d9025491ff078f8,3306172167,1010,6,01
2025_26,c23fe6438377952a8ec708b5d926a9fd9193a1f756ee34d0638bf17d75b2104a,3306172167,1010,7,01
2025_26,ff433c34c1eb6d8569c874829c7ffd5a2291f378669ad2025956397b123a3950,3306172167,1012p,9,01
2025_26,7e44edd1551552291ed3b63a73ce9b6d6c471007c7554c1e311c4aa80a67f215,3306172167,0930,7,01
2025_26,8ff672e53d013f2fe9945389b4d7f59cc3bbc84779d382de66396b3a69076047,3306172167,0930,2,01
2025_26,492b332f301408f8e92883512cbf3a440293300e41db6bc40eef59693e545818,3306172167,0930,4,01
2025_26,202312ea24d1e7773563b9fac2e285905c837c7109d089c3123b66459013281c,3306172167,0623,5,01
2025_26,b22ebd4eb75cbe3b0ff7dac7fcc8fdb3a16924a4e8bfbbb082ec2496a6f471fc,3306172167,0179,4,01
2025_26,d1b37a860ded5b908b00860f6c0e8e2e218923ec29f1795656fad92eb5004887,3306172167,0179,10,01
2025_26,86a7407c9014c8d9cede63897dca64aa8b6d28489e3be381cf1f28b48cb7dc87,3306172167,0179,7,01
2025_26,e1467bcc27ff8a4e4d8f0e7f055e914139f2f29b3b11cfb56a22a8c23d5b237c,3306172167,0931,9,01
2025_26,eac642876d4d82fc5096158360f2b64301519f81425a8f37c6d213a7403b0c33,3306172167,0931,9,01
2025_26,29807ef81aa8412b3d9068732861b3e6e760e22c893da83a7514f91ce9031e82,3306172167,0931,8,01
2025_26,0da8a9f5a321121865e8de88e5399494e3da2b6b2845f1daab8cac313f0314a1,3306172167,0930,7,01
2025_26,47c52f8c9ca8aa71e43bf7cd4aa83200d14199cfca869c19fc9f845620de2265,3306172135,0622,8,01
2025_26,861d3c7718472c6d7e7b5ec2f41e3cc79a920e5c8a9bd5469050faf9cecec108,3306172135,0622,4,01
2025_26,0a4a85a56a67cc069b028d7a02d5e0d9c13cc050abc682925c584a06024159af,3306172135,0622,6,01
2025_26,6990f1064643b438a23741916aa5f305a2d53de24c2adcacd7e13adba9675936,3306172135,0622,6,01
2025_26,582e5eeebbc710f9f2b91e5ccaf9f0bb23612b2769bc53ef920abfed25d4a8e2,3306172135,0627,6,01
2025_26,bd1c7e06faef39ee5e181e62c9655b5fbe0b7df4ec1487a37935f891c58f3b3d,3306172135,0627,8,01
2025_26,861d3c7718472c6d7e7b5ec2f41e3cc79a920e5c8a9bd5469050faf9cecec108,3306172135,0627,3,01
2025_26,bd1c7e06faef39ee5e181e62c9655b5fbe0b7df4ec1487a37935f891c58f3b3d,3306172135,0828p,7,01
2025_26,861d3c7718472c6d7e7b5ec2f41e3cc79a920e5c8a9bd5469050faf9cecec108,3306172135,0828p,7,01
2025_26,926c34c957226b24a955f5dee1f93405dcce4c08b05378e2cf5aab489f97fcd0,3306172135,0828p,6,01
2025_26,ddc099d7f233e777fd85c2a80815ce0425febe954a5897b61907a61f7a458f8d,3306172135,0623,8,01
2025_26,7ba79957534e0d56c4984f7596b16921af49ffd490210b4545587de27a230f40,3306172135,0623,3,01
2025_26,0a4a85a56a67cc069b028d7a02d5e0d9c13cc050abc682925c584a06024159af,3306172135,0623,7,01
2025_26,926c34c957226b24a955f5dee1f93405dcce4c08b05378e2cf5aab489f97fcd0,3306172135,0623,8,01
2025_26,56db3247627ae2c8a9f1de02cc22e02ebd36090868de7d525550c741db5e9417,3306172135,0179,9,01
2025_26,b8d478f266682c7ae7072879351cb7d7d8dbb7f01c4363e7c45ff69edf49f575,3306169433,243264,7,01
2025_26,0ebd1c9c04813645ba46043bf61d9c26e73b1c2d29d65b232170d589c2b541e5,3306169433,243266,9,01
2025_26,b18760267ce0f1845b7d2526a817f33fc4769842148e2b48e6f740bc65dc2b85,3306169433,243266,0,01
2025_26,3c1e4bca3648dfee11c4432841df90fc32fa919930dcfc02ff763ce4b1ba75b9,3306169433,243267,0,01
2025_26,21f00a7209eae4abca3d24c7d852a8e67521b34a226c2bee61d8e5bc12c026d8,3306169433,243265,4,01
2025_26,c3894aa1a66c49260eb22e721df4460473e53b216a36fd54155fafaccf7dc046,3306169440,243602,8,01
2025_26,a68a763bf4eda5fbee88e631e57fb2c3ef95ff74358379e819b7326b16d41e8f,3306169440,243604,6,01
2025_26,a81e4df1f5d5eccc3aff90579c8dbeaa8074a72ad33048d61c75f2bb5ae06f9f,3306169440,243271,9,01
2025_26,f3e361914caee481e2c69987451da75b6d43276f47f74a9fb5a8d8102c1434cf,3306173997,1709,5,01
2025_26,a3ba243a30e89c399e77472295e92dadfa68a9a8df4401c3569ea15a60eaebe8,3306173997,0438,9,01
2025_26,99a5d5cb53fc49914b4008b394fd079ccb621d29803e1d75287c36e50ad6b5cd,3306173997,0438,7,01
2025_26,f08738b34fa52088a1cd70d731e720a843d6bf0e18ca1f440ee0e2326958e07c,3306173997,1709,9,01
2025_26,c912b7c54223e15ec625cb8b27081ad549d4eed859fbaeef7d1bbb493fdfb66c,3306169593,0156,9,01
2025_26,0cf9870fe9fd232ac1e27611a8a4ec5c9cb4dbb87dbdf318aa9859cb88f3ac3d,3306174046,1665001,7,01
2025_26,2012af3d9f00b60bfe2d9bab1d99339d1f5c96656f2243a15c2a16fd6c93d2c2,3306174046,1665001,7,01
2025_26,4da51a862191fa00559c5883592b1b7ed8c8075bf9349428067e86fe1a991f05,3306172133,CVOPT,7,01
