anyo,codigo,nombre_cas,padre
2023_24,3003829462,SANIDAD,
2023_24,3003829464,GRADO MEDIO,3003829462
2023_24,3003826430,HOSTELERÍA Y TURISMO,
2023_24,3003829508,CUIDADOS AUXILIARES DE ENFERMERÍA,3003829464
2023_24,3003829510,Primero,3003829508
2023_24,3003829517,Segundo,3003829508
2023_24,3003829562,GRADO SUPERIOR,3003829462
2023_24,3003826453,GRADO SUPERIOR,3003826430
2023_24,3003826539,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,3003826453
2023_24,3003829627,LABORATORIO CLÍNICO Y BIOMÉDICO,3003829562
2023_24,3003829629,Primero,3003829627
2023_24,3003829636,Segundo,3003829627
2023_24,3003826541,Primero,3003826539
2023_24,3003826548,Segundo,3003826539
2023_24,3003826602,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS,3003826453
2023_24,3003826604,Primero,3003826602
2023_24,3003826611,Segundo,3003826602
2023_24,3003826623,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICAS",3003826453
2023_24,3003826625,Primero,3003826623
2023_24,3003826632,Segundo,3003826623
2023_24,3003822259,COMERCIO Y MARKETING,
2023_24,3003822315,GRADO MEDIO,3003822259
2023_24,3003822335,ACTIVIDADES COMERCIALES,3003822315
2023_24,3003822337,Primero,3003822335
2023_24,3003822344,Segundo,3003822335
2023_24,3003822382,GRADO SUPERIOR,3003822259
2023_24,3003822405,COMERCIO INTERNACIONAL (LOE),3003822382
2023_24,3003822407,Segundo,3003822405
2023_24,3003822414,Primero,3003822405
2023_24,3003822447,MARKETING Y PUBLICIDAD,3003822382
2023_24,3003822449,Primero,3003822447
2023_24,3003822456,Segundo,3003822447
2023_24,3003822563,FABRICACIÓN MECÁNICA,
2023_24,3003827148,ADMINISTRACIÓN Y GESTIÓN,
2023_24,3003827201,GRADO MEDIO,3003827148
2023_24,3003828685,INFORMÁTICA Y COMUNICACIONES,
2023_24,3003828687,CURSO ESPECIALIZACIÓN,3003828685
2023_24,3003828689,CIBERSEGURIDAD EN ENTORNOS DE LAS TECNOLOGÍAS DE LA INFORMACIÓN,3003828687
2023_24,3003828691,Primero CE,3003828689
2023_24,3003828703,INTELIGENCIA ARTIFICIAL Y BIG DATA,3003828687
2023_24,3003828705,Primero CE,3003828703
2023_24,3003827231,GESTIÓN ADMINISTRATIVA (LOE),3003827201
2023_24,3003827233,Primero,3003827231
2023_24,3003827240,Segundo,3003827231
2023_24,3003827264,GRADO SUPERIOR,3003827148
2023_24,3003828735,GRADO MEDIO,3003828685
2023_24,3003828758,SISTEMAS MICROINFORMÁTICOS Y REDES,3003828735
2023_24,3003828760,Primero,3003828758
2023_24,3003828767,Segundo,3003828758
2023_24,3003828784,GRADO SUPERIOR,3003828685
2023_24,3003828786,DESARROLLO DE APLICACIONES WEB,3003828784
2023_24,3003828788,Segundo,3003828786
2023_24,3003828795,Primero,3003828786
2023_24,3003822803,GRADO SUPERIOR,3003822563
2023_24,3003822870,ÓPTICA DE ANTEOJERÍA,3003822803
2023_24,3003822872,Primero,3003822870
2023_24,3003827315,ADMINISTRACIÓN Y FINANZAS (LOE),3003827264
2023_24,3003827317,Segundo,3003827315
2023_24,3003827324,Primero,3003827315
2023_24,3003828814,DESARROLLO DE APLICACIONES MULTIPLATAFORMA,3003828784
2023_24,3003828816,Primero,3003828814
2023_24,3003828823,Segundo,3003828814
2023_24,3003828884,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED,3003828784
2023_24,3003822879,Segundo,3003822870
2023_24,3003828893,Primero,3003828884
2023_24,3003828900,Segundo,3003828884
2023_24,3003854742,HOSTELERÍA Y TURISMO,
2023_24,3003854744,OPERACIONES BÁSICAS DE PISOS EN ALOJAMIENTOS,3003854742
