codigo,nombre_cas,curso
5021,Incidentes de ciberseguridad,3315802123
5022,Bastionado de redes y sistemas,3315802123
5023,Puesta en producción segura,3315802123
5024,Análisis forense informático,3315802123
5025,Hacking ético,3315802123
5026,Normativa de ciberseguridad,3315802123
TU02CF,Tutoría Segundo,3306172197
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306172197
0825,Financiación internacional,3306172197
0823,Marketing internacional,3306172197
0827,Comercio digital internacional,3306172197
0822,Sistema de información de mercados,3306172197
0824,Negociación internacional,3306172197
0830,Formación en Centros de Trabajo,3306172197
0826,Medios de pago internacionales,3306172197
0828,Proyecto de comercio internacional,3306172197
CV0010,Empresas simuladas. Herramientas informáticas de la Comunidad Portuaria,3306172197
TU01CF,Tutoría Primero,3306172205
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306172205
0179,Inglés profesional GS,3306172205
0622,Transporte internacional de mercancías,3306172205
0829,Formación y orientación laboral.,3306172205
0625,Logística de almacenamiento,3306172205
0623,Gestión económica y financiera de la empresa,3306172205
0627,Gestión administrativa del comercio internacional,3306172205
CV0008,Ofimática y proceso de la información en el comercio internacional,3306172205
CV0009,Gestión portuaria,3306172205
TU01CF,Tutoría Primero,3306172240
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306172240
0179,Inglés profesional GS,3306172240
0623,Gestión económica y financiera de la empresa,3306172240
0930,Políticas de marketing,3306172240
0931,Marketing digital,3306172240
1010,Investigación comercial,3306172240
1014,Formación y orientación laboral,3306172240
TU02CF,Tutoría Segundo,3306172247
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306172247
1007,Diseño y elaboración de material de comunicación,3306172247
1008,Medios y soportes de comunicación,3306172247
1009,Relaciones públicas y organización de eventos de marketing,3306172247
1011,Trabajo de campo en la investigación comercial,3306172247
1109,Lanzamiento de productos y servicios,3306172247
1110,"Atención al cliente, consumidor y usuario",3306172247
1012,Proyecto de marketing y publicidad,3306172247
1013,Formación en centros de trabajo,3306172247
TU01CF,Tutoría Primero,3306172440
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306172440
0179,Inglés profesional GS,3306172440
0401,Formación y Orientación Laboral,3306172440
0171,Estructura del mercado turístico,3306172440
0383,Destinos turísticos ,3306172440
0384,Recursos turísticos ,3306172440
0172,Protocolo y relaciones públicas,3306172440
0173,Marketing turístico,3306172440
TU02CF,Tutoría Segundo,3306172447
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306172447
0398,Venta de servicios turísticos,3306172447
0180,Segunda lengua extranjera,3306172447
0403,Formación en Centros de Trabajo,3306172447
0400,Proyecto de Agencias de viajes,3306172447
0402,Empresa e iniciativa emprendedora,3306172447
0399,Dirección de entidades de intermedi,3306172447
0397,Gestión de productos turísticos,3306172447
TU01CF,Tutoría Primero,3306172461
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306172461
0179,Inglés profesional GS,3306172461
0171,Estructura del mercado turístico,3306172461
0383,Destinos turísticos ,3306172461
0384,Recursos turísticos ,3306172461
0172,Protocolo y relaciones públicas,3306172461
0173,Marketing turístico,3306172461
0389,Formación y orientación laboral ,3306172461
TU02CF,Tutoría Segundo,3306172468
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306172468
0180,Segunda lengua extranjera,3306172468
0385,Servicios de información turística,3306172468
0388,"Proyecto de Guía, información y asistencia turísticas",3306172468
0390,Empresa e iniciativa emprendedora,3306172468
0391,Formación en Centros de Trabajo,3306172468
0387,Diseño de productos turísticos,3306172468
0386,Procesos de guía y asistencia ,3306172468
1708039,Sostenibilidad aplicada al sistema productivo,3306172482
CVOPT,Módulo optativo,3306172482
0181s,Proyecto intermodular 2 de Gestión de alojamientos turísticos,3306172482
1665039,Digitalización aplicada al sistema productivo GS,3306172482
TU02CF,Tutoría Segundo,3306172482
0180,Segunda lengua extranjera,3306172482
0176,Recepción y reservas,3306172482
0178,Comercialización de eventos,3306172482
0175,Gestión del departamento de pisos,3306172482
1710,Itinerario personal para la empleabilidad II,3306172482
1709,Itinerario personal para la empleabilidad I,3306172484
0181p,Proyecto intermodular 1 de Gestión de alojamientos turísticos,3306172484
TU01CF,Tutoría Primero,3306172484
0179,Inglés profesional GS,3306172484
0171,Estructura del mercado turístico,3306172484
0172,Protocolo y relaciones públicas,3306172484
0173,Marketing turístico,3306172484
0174,Dirección de alojamientos turístico,3306172484
0177,Recursos humanos en el alojamiento,3306172484
1708190,Sostenibilidad aplicada al sistema productivo,3306169591
1713707,Proyecto intermodular Sistemas microinformáticos y redes,3306169591
CVOPT,Módulo optativo,3306169591
1664190,Digitalización aplicada al sistema productivo GM,3306169591
TU02CF,Tutoría Segundo,3306169591
0228,Aplicaciones web,3306169591
0226,Seguridad informática,3306169591
0224,Sistemas operativos en red,3306169591
0227,Servicios en red,3306169591
1710,Itinerario personal para la empleabilidad II,3306169591
1709,Itinerario personal para la empleabilidad I,3306169593
TU01CF,Tutoría Primero,3306169593
0225,Redes locales,3306169593
0223,Aplicaciones ofimáticas,3306169593
0221,Montaje y mantenimiento de equipos,3306169593
0222,Sistemas operativos monopuesto,3306169593
0156,Inglés profesional GM,3306169593
TU01CF,Tutoría Primero,3306169607
CV0001,Inglés Técnico I-M / Horario reservado para la docencia en inglés,3306169607
0225,Redes locales,3306169607
0223,Aplicaciones ofimáticas,3306169607
0221,Montaje y mantenimiento de equipos,3306169607
0229,Formación y orientación laboral,3306169607
0222,Sistemas operativos monopuesto,3306169607
TU02CF,Tutoría Segundo,3306169614
CV0002,Inglés Técnico II-M / Horario reservado para la docencia en inglés,3306169614
0230,Empresa e iniciativa emprendedora,3306169614
0228,Aplicaciones web,3306169614
0226,Seguridad informática,3306169614
0224,Sistemas operativos en red,3306169614
0231,Formación en Centros de Trabajo,3306169614
0227,Servicios en red,3306169614
1665190,Digitalización aplicada al sistema productivo GS,3306169635
1708190,Sostenibilidad aplicada al sistema productivo,3306169635
CVOPT,Módulo optativo,3306169635
0492s,Proyecto intermodular 2 de Desarrollo de aplicaciones multiplataforma,3306169635
TU02CF,Tutoría Segundo,3306169635
0491,Sistemas de gestión empresarial,3306169635
0490,Programación de servicios y procesos,3306169635
0489,Programación multimedia y dispositivos móviles,3306169635
0488,Desarrollo de interfaces,3306169635
0486,Acceso a datos,3306169635
1710,Itinerario personal para la empleabilidad II,3306169635
1709,Itinerario personal para la empleabilidad I,3306169637
0492p,Proyecto intermodular 1 de Desarrollo de aplicaciones multiplataforma,3306169637
TU01CF,Tutoría Primero,3306169637
0179,Inglés profesional GS,3306169637
0373,Lenguajes de marcas y sistemas de gestión de información,3306169637
0487,Entornos de desarrollo,3306169637
0485,Programación,3306169637
0484,Bases de Datos,3306169637
0483,Sistemas informáticos,3306169637
1709,Itinerario personal para la empleabilidad I,3306169651
0616p,Proyecto intermodular 1 de Desarrollo de aplicaciones WEB,3306169651
TU01CF,Tutoría Primero,3306169651
0179,Inglés profesional GS,3306169651
0373,Lenguajes de marcas y sistemas de gestión de información,3306169651
0487,Entornos de desarrollo,3306169651
0485,Programación,3306169651
0484,Bases de Datos,3306169651
0483,Sistemas informáticos,3306169651
1665190,Digitalización aplicada al sistema productivo GS,3306169658
1708190,Sostenibilidad aplicada al sistema productivo,3306169658
CVOPT,Módulo optativo,3306169658
0616s,Proyecto intermodular 2 de Desarrollo de aplicaciones WEB,3306169658
TU02CF,Tutoría Segundo,3306169658
0615,Diseño de interfaces WEB,3306169658
0614,Despliegue de aplicaciones WEB,3306169658
0613,Desarrollo WEB en entorno servidor,3306169658
0612,Desarrollo WEB en entorno cliente,3306169658
1710,Itinerario personal para la empleabilidad II,3306169658
TU02CF,Tutoría Segundo,3306169667
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306169667
0619,Formación en centros de trabajo,3306169667
0616,Proyecto de Desarrollo de aplicaciones WEB,3306169667
0618,Empresa e iniciativa emprendedora,3306169667
0615,Diseño de interfaces WEB,3306169667
0614,Despliegue de aplicaciones WEB,3306169667
0613,Desarrollo WEB en entorno servidor,3306169667
0612,Desarrollo WEB en entorno cliente,3306169667
TU01CF,Tutoría Primero,3306169674
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306169674
0373,Lenguajes de marcas y sistemas de gestión de información,3306169674
0487,Entornos de desarrollo,3306169674
0485,Programación,3306169674
0484,Bases de Datos,3306169674
0483,Sistemas informáticos,3306169674
0617,Formación y orientación laboral,3306169674
TU01CF,Tutoría Primero,3306169695
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306169695
