codigo,nombre_cas,curso
TU01CF,Tutoría Primero,3003829510
028502,Técnicas básicas de enfermería,3003829510
028504,Promoción de la salud y apoyo psicológico al paciente,3003829510
028505,Técnicas de ayuda odontológica/estomatológica,3003829510
028001,Formación y orientación laboral,3003829510
028503,Higiene del medio hospitalario y limpieza de material,3003829510
028501,Operaciones administrativas y documentación sanitaria,3003829510
028100,Relaciones en el equipo de trabajo,3003829510
TU02CF,Tutoría Segundo,3003829517
028601,Formación en Centros de Trabajo,3003829517
TU01CF,Tutoría Primero,3003829629
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3003829629
1370,Fisiopatología general,3003829629
1367,Gestión de muestras biológicas,3003829629
1368,Técnicas generales de laboratorio,3003829629
1369,Biología molecular y citogenética,3003829629
1376,Formación y orientación laboral,3003829629
TU02CF,Tutoría Segundo,3003829636
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3003829636
1375,Proyecto de laboratorio clínico y biomédico,3003829636
1378,Formación en centros de trabajo,3003829636
1371,Análisis bioquímico,3003829636
1372,Técnicas de inmunodiagnóstico,3003829636
1373,Microbiología clínica,3003829636
1374,Técnicas de análisis hematológico,3003829636
1377,Empresa e iniciativa emprendedora,3003829636
TU01CF,Tutoría Primero,3003826541
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3003826541
0179,Inglés,3003826541
0171,Estructura del mercado turístico,3003826541
0172,Protocolo y relaciones públicas,3003826541
0173,Marketing turístico,3003826541
0174,Dirección de alojamientos turístico,3003826541
0182,Formación y orientación laboral,3003826541
0177,Recursos humanos en el alojamiento,3003826541
TU02CF,Tutoría Segundo,3003826548
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3003826548
0180,Segunda lengua extranjera,3003826548
0181,Proyecto de gestión de alojamientos turísticos,3003826548
0184,Formación en Centros de Trabajo,3003826548
0183,Empresa e iniciativa emprendedora ,3003826548
0176,Recepción y reservas,3003826548
0178,Comercialización de eventos,3003826548
0175,Gestión del departamento de pisos,3003826548
TU01CF,Tutoría Primero,3003826604
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3003826604
0179,Inglés,3003826604
0401,Formación y Orientación Laboral,3003826604
0171,Estructura del mercado turístico,3003826604
0383,Destinos turísticos ,3003826604
0384,Recursos turísticos ,3003826604
0172,Protocolo y relaciones públicas,3003826604
0173,Marketing turístico,3003826604
TU02CF,Tutoría Segundo,3003826611
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3003826611
0398,Venta de servicios turísticos,3003826611
0180,Segunda lengua extranjera,3003826611
0403,Formación en Centros de Trabajo,3003826611
0400,Proyecto de Agencias de viajes ,3003826611
0402,Empresa e iniciativa emprendedora,3003826611
0399,Dirección de entidades de intermedi,3003826611
0397,Gestión de productos turísticos,3003826611
TU01CF,Tutoría Primero,3003826625
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3003826625
0179,Inglés,3003826625
0171,Estructura del mercado turístico,3003826625
0383,Destinos turísticos ,3003826625
0384,Recursos turísticos ,3003826625
0172,Protocolo y relaciones públicas,3003826625
0173,Marketing turístico,3003826625
0389,Formación y orientación laboral ,3003826625
TU02CF,Tutoría Segundo,3003826632
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3003826632
0180,Segunda lengua extranjera,3003826632
0385,Servicios de información turística,3003826632
0388,"Proyecto de guía, información",3003826632
0390,Empresa e iniciativa emprendedora,3003826632
0391,Formación en Centros de Trabajo,3003826632
0387,Diseño de productos turísticos,3003826632
0386,Procesos de guía y asistencia ,3003826632
TU01CF,Tutoría Primero,3003822337
CV0001,Inglés Técnico I-M / Horario reservado para la docencia en inglés,3003822337
0156,Inglés,3003822337
1226,Marketing en la actividad comercial,3003822337
1229,Gestión de compras,3003822337
1231,Dinamización del punto de venta,3003822337
1232,Procesos de venta,3003822337
1233,Aplicaciones informáticas para el comercio,3003822337
1236,Formación y orientación laboral,3003822337
TU02CF,Tutoría Segundo,3003822344
CV0002,Inglés Técnico II-M / Horario reservado para la docencia en inglés,3003822344
1227,Gestión de un pequeño comercio,3003822344
1228,Técnicas de almacén,3003822344
1230,Venta técnica,3003822344
1234,Servicios de atención comercial,3003822344
1235,Comercio electrónico,3003822344
1237,Formación en centros de trabajo,3003822344
TU02CF,Tutoría Segundo,3003822407
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3003822407
0825,Financiación internacional,3003822407
0823,Marketing internacional,3003822407
0827,Comercio digital internacional,3003822407
0822,Sistema de información de mercados,3003822407
