anyo,alumno,curso,contenido,evaluacion,nota_numerica
2024_25,00588d3cbd0b7d7f58c376d9f9513e9fa025d82a02655348d75279e26e769959,3162075418,028601,FI,0
2024_25,005ac07cd26a35e79417526016888d5d743a708b109b55dcd00f2b8d2b667add,3162079790,0653,1,6
2024_25,005ac07cd26a35e79417526016888d5d743a708b109b55dcd00f2b8d2b667add,3162079790,0653,FI,6
2024_25,005ac07cd26a35e79417526016888d5d743a708b109b55dcd00f2b8d2b667add,3162079790,0656,1,7
2024_25,005ac07cd26a35e79417526016888d5d743a708b109b55dcd00f2b8d2b667add,3162079790,0656,FI,8
2024_25,005ac07cd26a35e79417526016888d5d743a708b109b55dcd00f2b8d2b667add,3162079790,CV0004,1,4
2024_25,005ac07cd26a35e79417526016888d5d743a708b109b55dcd00f2b8d2b667add,3162079790,CV0004,FI,5
2024_25,006542dce5f0cd5eb603ea33b80f4ae48e2cd260fc989ca72ecb28ceb34f38c0,3228406931,0179,1,8
2024_25,006542dce5f0cd5eb603ea33b80f4ae48e2cd260fc989ca72ecb28ceb34f38c0,3228406931,0179,2,7
2024_25,006542dce5f0cd5eb603ea33b80f4ae48e2cd260fc989ca72ecb28ceb34f38c0,3228406931,0179,FI,7
2024_25,006542dce5f0cd5eb603ea33b80f4ae48e2cd260fc989ca72ecb28ceb34f38c0,3228406931,0623,1,8
2024_25,006542dce5f0cd5eb603ea33b80f4ae48e2cd260fc989ca72ecb28ceb34f38c0,3228406931,0623,2,7
2024_25,006542dce5f0cd5eb603ea33b80f4ae48e2cd260fc989ca72ecb28ceb34f38c0,3228406931,0623,FI,7
2024_25,006542dce5f0cd5eb603ea33b80f4ae48e2cd260fc989ca72ecb28ceb34f38c0,3228406931,0930,1,6
2024_25,006542dce5f0cd5eb603ea33b80f4ae48e2cd260fc989ca72ecb28ceb34f38c0,3228406931,0930,2,8
2024_25,006542dce5f0cd5eb603ea33b80f4ae48e2cd260fc989ca72ecb28ceb34f38c0,3228406931,0930,FI,7
2024_25,006542dce5f0cd5eb603ea33b80f4ae48e2cd260fc989ca72ecb28ceb34f38c0,3228406931,0931,1,7
2024_25,006542dce5f0cd5eb603ea33b80f4ae48e2cd260fc989ca72ecb28ceb34f38c0,3228406931,0931,2,7
2024_25,006542dce5f0cd5eb603ea33b80f4ae48e2cd260fc989ca72ecb28ceb34f38c0,3228406931,0931,FI,7
2024_25,006542dce5f0cd5eb603ea33b80f4ae48e2cd260fc989ca72ecb28ceb34f38c0,3228406931,1010,1,5
2024_25,006542dce5f0cd5eb603ea33b80f4ae48e2cd260fc989ca72ecb28ceb34f38c0,3228406931,1010,2,3
2024_25,006542dce5f0cd5eb603ea33b80f4ae48e2cd260fc989ca72ecb28ceb34f38c0,3228406931,1010,FI,7
2024_25,006542dce5f0cd5eb603ea33b80f4ae48e2cd260fc989ca72ecb28ceb34f38c0,3228406931,1012p,1,8
