anyo,nombre_cas,codigo,padre
2024,Primero,3228410892,3227301117
2024,Primero,3228413080,3226406297
2024,Primero,3228413382,3226408017
2024,GESTIÓN ADMINISTRATIVA (LFP),3225429691,3162079674
2024,ADMINISTRACIÓN Y FINANZAS (LFP),3225431334,3162079737
2024,ACTIVIDADES COMERCIALES (LFP),3225447205,3162077459
2024,SISTEMAS MICROINFORMÁTICOS Y REDES (LFP),3226405353,3162079904
2024,Primero,3228410357,3227299518
2024,COMERCIO INTERNACIONAL (LFP),3225450098,3162077526
2024,MARKETING Y PUBLICIDAD (LFP),3225452276,3162077526
2024,DESARROLLO DE APLICACIONES MULTIPLATAFORMA (LFP),3226407569,3162079953
2024,DESARROLLO DE APLICACIONES WEB (LFP),3226408017,3162079953
2024,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),3226420481,3162075463
2024,Primero,3228379385,3225429691
2024,Primero,3228381273,3225447205
2024,Primero,3228406545,3225450098
2024,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),3227299518,3162075939
2024,Primero,3228404816,3225431334
2024,FABRICACIÓN MECÁNICA,3162078271, 
2024,Segundo,3162079790,3162079788
2024,Primero,3162079797,3162079788
2024,INFORMÁTICA Y COMUNICACIONES,3162079854, 
2024,CURSO ESPECIALIZACIÓN,3162079856,3162079854
2024,CIBERSEGURIDAD EN ENTORNOS DE LAS TECNOLOGÍAS DE LA INFORMACIÓN,3162079858,3162079856
2024,Primero CE,3162079860,3162079858
2024,INTELIGENCIA ARTIFICIAL Y BIG DATA,3162079872,3162079856
2024,Primero CE,3162079874,3162079872
2024,GRADO MEDIO,3162079904,3162079854
2024,SISTEMAS MICROINFORMÁTICOS Y REDES,3162079927,3162079904
2024,Primero,3162079929,3162079927
2024,Segundo,3162079936,3162079927
2024,GRADO SUPERIOR,3162079953,3162079854
2024,DESARROLLO DE APLICACIONES WEB,3162079955,3162079953
2024,Segundo,3162079957,3162079955
2024,Primero,3162079965,3162079955
2024,GRADO SUPERIOR,3162078516,3162078271
2024,DESARROLLO DE APLICACIONES MULTIPLATAFORMA,3162079984,3162079953
2024,Primero,3162079986,3162079984
2024,Segundo,3162079993,3162079984
2024,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED,3162080054,3162079953
2024,Primero,3228406931,3225452276
2024,ÓPTICA DE ANTEOJERÍA,3162078582,3162078516
2024,Primero,3162078584,3162078582
2024,Segundo,3162078591,3162078582
2024,Primero,3162080064,3162080054
2024,Segundo,3162080071,3162080054
2024,SANIDAD,3162075362, 
2024,GRADO MEDIO,3162075364,3162075362
2024,CUIDADOS AUXILIARES DE ENFERMERÍA,3162075409,3162075364
2024,Primero,3162075411,3162075409
2024,Segundo,3162075418,3162075409
2024,GRADO SUPERIOR,3162075463,3162075362
2024,LABORATORIO CLÍNICO Y BIOMÉDICO,3162075530,3162075463
2024,Primero,3162075532,3162075530
2024,Segundo,3162075539,3162075530
2024,COMERCIO Y MARKETING,3162077408, 
2024,GRADO MEDIO,3162077459,3162077408
2024,HOSTELERÍA Y TURISMO,3162075916, 
2024,ACTIVIDADES COMERCIALES,3162077479,3162077459
2024,Primero,3162077481,3162077479
2024,Segundo,3162077488,3162077479
2024,GRADO SUPERIOR,3162077526,3162077408
2024,COMERCIO INTERNACIONAL (LOE),3162077549,3162077526
2024,Segundo,3162077551,3162077549
2024,Primero,3162077558,3162077549
2024,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED (LFP),3226406297,3162079953
2024,GRADO SUPERIOR,3162075939,3162075916
2024,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,3162076026,3162075939
2024,Primero,3162076028,3162076026
2024,MARKETING Y PUBLICIDAD,3162077591,3162077526
2024,Primero,3162077593,3162077591
2024,Segundo,3162077600,3162077591
2024,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",3227301117,3162075939
2024,Segundo,3162076035,3162076026
2024,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS,3162076089,3162075939
2024,Primero,3162076091,3162076089
2024,Segundo,3162076098,3162076089
2024,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICAS",3162076110,3162075939
2024,Primero,3162076112,3162076110
2024,Segundo,3162076119,3162076110
2024,Primero,3228190451,3226407569
2024,Primero,3228390016,3226405353
2024,Primero,3228410748,3226998664
2024,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS (LFP),3226998664,3162075939
2024,Primero,3228415772,3226420481
2024,ADMINISTRACIÓN Y GESTIÓN,3162079623, 
2024,GRADO MEDIO,3162079674,3162079623
2024,GESTIÓN ADMINISTRATIVA (LOE),3162079704,3162079674
2024,Primero,3162079706,3162079704
2024,Segundo,3162079713,3162079704
2024,GRADO SUPERIOR,3162079737,3162079623
2024,ADMINISTRACIÓN Y FINANZAS (LOE),3162079788,3162079737
2024,HOSTELERÍA Y TURISMO,3162109498, 
2024,OPERACIONES BÁSICAS DE PISOS EN ALOJAMIENTOS,3162109500,3162109498
