anyo,nombre_modulo,codigo_modulo,codigo_curso,nombre_curso,ciclo,grado,familia
2025_26,Incidentes de ciberseguridad,5021,3315802123,Primero CE,CIBERSEGURIDAD EN ENTORNOS DE LAS TECNOLOGÍAS DE LA INFORMACIÓN (LFP),CURSO ESPECIALIZACIÓN,INFORMÁTICA Y COMUNICACIONES
2025_26,Bastionado de redes y sistemas,5022,3315802123,Primero CE,CIBERSEGURIDAD EN ENTORNOS DE LAS TECNOLOGÍAS DE LA INFORMACIÓN (LFP),CURSO ESPECIALIZACIÓN,INFORMÁTICA Y COMUNICACIONES
2025_26,Puesta en producción segura,5023,3315802123,Primero CE,CIBERSEGURIDAD EN ENTORNOS DE LAS TECNOLOGÍAS DE LA INFORMACIÓN (LFP),CURSO ESPECIALIZACIÓN,INFORMÁTICA Y COMUNICACIONES
2025_26,Análisis forense informático,5024,3315802123,Primero CE,CIBERSEGURIDAD EN ENTORNOS DE LAS TECNOLOGÍAS DE LA INFORMACIÓN (LFP),CURSO ESPECIALIZACIÓN,INFORMÁTICA Y COMUNICACIONES
2025_26,Hacking ético,5025,3315802123,Primero CE,CIBERSEGURIDAD EN ENTORNOS DE LAS TECNOLOGÍAS DE LA INFORMACIÓN (LFP),CURSO ESPECIALIZACIÓN,INFORMÁTICA Y COMUNICACIONES
2025_26,Normativa de ciberseguridad,5026,3315802123,Primero CE,CIBERSEGURIDAD EN ENTORNOS DE LAS TECNOLOGÍAS DE LA INFORMACIÓN (LFP),CURSO ESPECIALIZACIÓN,INFORMÁTICA Y COMUNICACIONES
2025_26,Tutoría Segundo,TU02CF,3306172197,Segundo,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Inglés Técnico II-S / Horario reservado para la docencia en inglés,CV0004,3306172197,Segundo,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Financiación internacional,0825,3306172197,Segundo,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Marketing internacional,0823,3306172197,Segundo,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Comercio digital internacional,0827,3306172197,Segundo,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Sistema de información de mercados,0822,3306172197,Segundo,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Negociación internacional,0824,3306172197,Segundo,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Formación en Centros de Trabajo,0830,3306172197,Segundo,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Medios de pago internacionales,0826,3306172197,Segundo,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Proyecto de comercio internacional,0828,3306172197,Segundo,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Empresas simuladas. Herramientas informáticas de la Comunidad Portuaria,CV0010,3306172197,Segundo,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Tutoría Primero,TU01CF,3306172205,Primero,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
2025_26,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3306172205,Primero,COMERCIO INTERNACIONAL (LOE),GRADO SUPERIOR,COMERCIO Y MARKETING
