anyo,nombre_cas,codigo,curso
2025,Incidentes de ciberseguridad,5021,3315802123
2025,Bastionado de redes y sistemas,5022,3315802123
2025,Puesta en producción segura,5023,3315802123
2025,Análisis forense informático,5024,3315802123
2025,Hacking ético,5025,3315802123
2025,Normativa de ciberseguridad,5026,3315802123
2025,Tutoría Segundo,TU02CF,3306172197
2025,Inglés Técnico II-S / Horario reservado para la docencia en inglés,CV0004,3306172197
2025,Financiación internacional,0825,3306172197
2025,Marketing internacional,0823,3306172197
2025,Comercio digital internacional,0827,3306172197
2025,Sistema de información de mercados,0822,3306172197
2025,Negociación internacional,0824,3306172197
2025,Formación en Centros de Trabajo,0830,3306172197
2025,Medios de pago internacionales,0826,3306172197
2025,Proyecto de comercio internacional,0828,3306172197
2025,Empresas simuladas. Herramientas informáticas de la Comunidad Portuaria,CV0010,3306172197
2025,Tutoría Primero,TU01CF,3306172205
2025,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3306172205
2025,Inglés profesional GS,0179,3306172205
2025,Transporte internacional de mercancías,0622,3306172205
2025,Formación y orientación laboral.,0829,3306172205
2025,Logística de almacenamiento,0625,3306172205
2025,Gestión económica y financiera de la empresa,0623,3306172205
2025,Gestión administrativa del comercio internacional,0627,3306172205
2025,Ofimática y proceso de la información en el comercio internacional,CV0008,3306172205
2025,Gestión portuaria,CV0009,3306172205
2025,Tutoría Primero,TU01CF,3306172240
2025,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3306172240
2025,Inglés profesional GS,0179,3306172240
2025,Gestión económica y financiera de la empresa,0623,3306172240
2025,Políticas de marketing,0930,3306172240
2025,Marketing digital,0931,3306172240
2025,Investigación comercial,1010,3306172240
2025,Formación y orientación laboral,1014,3306172240
2025,Tutoría Segundo,TU02CF,3306172247
2025,Inglés Técnico II-S / Horario reservado para la docencia en inglés,CV0004,3306172247
2025,Diseño y elaboración de material de comunicación,1007,3306172247
2025,Medios y soportes de comunicación,1008,3306172247
2025,Relaciones públicas y organización de eventos de marketing,1009,3306172247
