id_alumno,documento_hash,fecha_nac,sexo,estado_matricula,curso,grupo,turno
13288467,711426f3bbc28f3caca10f39f47f1816a7bbf1131884dbc191d393b0415d0000,15/08/2003,H,M,3003822414,1CFSI,D
13288233,3c3d05e78555f67375f1283d5ced2a568baa8c347affbf45537e81719be9311e,10/10/1978,M,B,3003822414,1CFSI,D
13294635,f214106a09a8f0944e7a5c34aac1d98c913dacd99c03dc53da3e222c823cbaf8,29/01/2003,H,M,3003828795,1CFSH,D
10332148,f59d78818883360b7ca3f9fcec88737a21f2dd009682e0735976ea5aa501552f,27/12/2000,M,M,3003828795,1CFSL,S
11738860,633a34be3f4aaa3aec263924fdcf922917f2e9336478f4ed84f638d1b23b4fb4,06/11/1978,M,M,3003827233,1CFMG,S
12300236,9e6fd716f3d58aac37a72c10d888d7f8eaf8956f021431269e3015a83d6295e3,09/01/1993,H,M,3003822449,1CFSP,S
13297112,d44a5737b7960273daae5a4cf1af37243f87271a6c9acd0e1bc6b53611664833,24/06/1999,H,M,3003828705,1CESIAB,D
13257199,2b04e0feba2d050fefea309c04f37888f6aa5d19ac8f9b5f96466794b9e2459e,03/10/1966,H,M,3003828893,1CFSC,D
12491074,aeda08ee0161080449e023c0bf03bc8cf4cdc9fffd9ce4110b0195f0b8114bc4,23/05/1986,M,M,3003827317,2CFSL,S
11567443,f17dc04668ec7e212405f55c5400207712de94edb4b7e9748330b1f395187bd7,15/10/1998,M,M,3003827240,2CFMG,S
12839144,8b4db0d6c2c4448fc7f47ae43db20b8911ce3aacce066ecf07317e50826416d8,09/11/2004,H,M,3003827324,1CFSA,D
10388745,529315a996785e14016802babced70e48735142d86f1c70a30134c1835b662f5,31/07/1999,M,M,3003829517,2CFMF,D
10984790,7c0e34068ecf3d717bc82b41130f1cee0ef51f0b732730890d63e3c4925d96e6,16/02/1972,M,M,3003828816,2CFSN,S
12736448,cdfdea28ad31b3b4893f43b3e25c33c8dd182827263a8b93d0e9d4554b5ace51,04/09/1990,M,M,3003829517,2CFME,D
10696489,4ba1e58a3854de0120feac763d363d7847a7487318a0a633426fd937897d3cc5,03/04/2003,H,B,3003828893,1CFSC,D
11895957,007e523d73e0b2ff1a7c3b9eb02423d3d5eaad48f88e27ec817a4036f9457376,19/04/1981,M,M,3003829510,1CFMI,S
11494374,afdf0fe870b6209fafeb723f43b59f3f9bfa4e10a8b916c2a464089f3c48e1be,06/07/1987,M,M,3003822456,2CFSO,S
12736231,f8579fff3e8e2df589473f62dc16d9841f008226317b2e1cdbd476278dea889f,28/02/1992,M,M,3003827233,1CFMG,S
12730573,8f40e54b17ff8aaa39f99c785749e536f98d72823a52edd91f5038b6aaa1a924,07/11/1986,H,M,3003827240,2CFMG,S
10454428,347e51d1637b1d9a4dc1e2095317b947102456abc996071ec43dcc37abae268b,14/08/1992,M,M,3003828795,1CFSL,S
12826253,cf54389da41ad81846392f27bf37066cc808ee5d0d0208d1b6e2c53d518db364,16/03/2003,H,M,3003829636,2CFSF,D
10743797,f0e5669c13e4dd4f26bad18f3ddb78536c417ffc25bc35131a1263428512bc39,02/04/2003,H,M,3003827317,2CFSA,D
10489725,cb0fabbde63027184ff1ecf486f3998e335b41ee700f12a948deb8d9f683cace,07/11/2003,M,M,3003826541,1CFSN,S
10174516,3bfb50119e1460d1a4ed9650c95220b67eadf2dc048924711a1b4da7ebcc02b9,13/01/1993,M,M,3003827240,2CFMG,S
10041748,49b978c22900b511fa1dd81b7f963254a0c01d5595a14e334821181f1513c757,09/12/1999,M,M,3003826632,2CFSE,D
10146282,eb35bc7e84dacb14a3d204d7e36088d895efed49750052979bccf926590696e9,08/07/1996,M,M,3003828691,1CESCIB,D
10611327,e9c53c2535c34336ec555100a668dabf3a30ad94d76251e7cfcbe9e9cb59dba9,09/01/2004,H,M,3003828893,1CFSC,D
13072131,bfedd7d6f6e4eea6d0c09b9aad9afa1bc35ae534934d899e9837566993adbbf9,27/01/1968,M,B,3003829510,1CFMF,D
12557890,c96efce365a6aa8ba047a8c28306704c4342e7217c31165cf79ddd63c0c2bf8a,08/11/1982,M,M,3003829517,2CFMF,D
13248669,5bc5f261d0ebb68b4da2c75d9ff6192999c58490804173f9de7d62128507d47c,04/08/1982,H,B,3003828760,1CFMD,S
11060283,a1c138476b77f5095c1ce3f0f6e8bcc48fc2218aa0f60926216dd6edf35c9a1e,15/04/1986,M,B,3003828823,2CFSN,S
10863174,6ad8e0f092a61272ee5faad346824a09de68465477d9c0424aff415ed1897de1,29/07/2004,H,M,3003828767,2CFMC,D
12380827,e1f671c31a00d3c4a27f576f72c8c6313dceda0d9351298d7aadbc71d8a5a992,25/04/1989,M,M,3003827233,1CFMG,S
10910803,31d6256dcd7974643e04b84f56d0898e46719cf94c46b5c34e4237290768fc84,06/09/2005,H,B,3003829629,1CFSF,D
10594447,af71845a3bc2ef7407c8538f9822cf5cafb44769d83a105402e6729ce80bc314,08/07/1989,M,M,3003822456,2CFSO,S
12868237,81a5cde4520c0d40d0a99e61c4fb0a38beda73b610fabc6d04c6d00763761481,10/11/1971,M,M,3003829510,1CFMI,S
11254522,52ca1ef81cda3beb2dafe7b2d66fbde7ef75e0ec11ffae42178998bd4be21eaf,17/07/1987,H,M,3003827240,2CFMG,S
11780595,6bf76af612f14214a521c87a01ff4a4a6b403a89cf205dd05418547f61015aea,23/09/2006,M,M,3003822344,2CFMB,D
13245586,b9ee03ba34cf76d509bce616b4404753ba8d8ee206aac7fadb8603c22efeefaa,02/06/2004,M,M,3003827324,1CFSA,D
12485328,2c4f12f77464e6fac440774956cf785c6e96b623e85a039cc9148e6cc72b3a8e,01/08/1987,M,M,3003827240,2CFMG,S
12735228,d9d24b0c6df41e7ccba0eb26617322015999d06a0ee7530bb7614da04b194bb9,18/06/1986,H,M,3003828795,1CFSL,S
13243465,72314b1fc78d97db44198a22b1b6c0030faa263c66e6131dc1578f4e518b1b5d,21/02/1989,M,B,3003827317,2CFSL,S
11891674,9175592091707a21b261c314b6dae03369fa586b673d297195473440da87d73b,12/06/1984,H,M,3003828823,2CFSN,S
