anyo,alumno,curso,contenido,nota_numerica,evaluacion
2023_24,4e6e7ab251d08a3de8b5f80ca6002b49dbbf1dd4a1be81ee4af62ee3486c6dc5,3003826548,CV0004,7,FI
2023_24,4e6e7ab251d08a3de8b5f80ca6002b49dbbf1dd4a1be81ee4af62ee3486c6dc5,3003826548,0180,7,1
2023_24,4456684be123e954e3257cf5eb7586be4de7e4a4284f3074bae423d25e90e2b6,3003826548,CV0004,8,FI
2023_24,0d2a6768e53dee0cb270c95ffd59afa4a63065c64bb0f7da3fd57961a890f1da,3003826548,0176,8,FI
2023_24,4456684be123e954e3257cf5eb7586be4de7e4a4284f3074bae423d25e90e2b6,3003826548,0176,9,FI
2023_24,0d2a6768e53dee0cb270c95ffd59afa4a63065c64bb0f7da3fd57961a890f1da,3003826548,0175,7,FI
2023_24,4654dd278c815cd8a15a67cb88c7a9db197d41c9d5e891309bd79cb68a66ccb7,3003826548,CV0004,8,FI
2023_24,129567fabe874517d8c0624a60854db8de13daf20fe6234f70b55cb7095d8f7b,3003826548,CV0004,7,FI
2023_24,32353c5871fd012ee22f2baa3162937ec5694685771b4541e010d348da6e8880,3003826548,0183,8,1
2023_24,4e6e7ab251d08a3de8b5f80ca6002b49dbbf1dd4a1be81ee4af62ee3486c6dc5,3003826548,0180,8,FI
2023_24,4e6e7ab251d08a3de8b5f80ca6002b49dbbf1dd4a1be81ee4af62ee3486c6dc5,3003826548,0183,5,1
2023_24,0d2a6768e53dee0cb270c95ffd59afa4a63065c64bb0f7da3fd57961a890f1da,3003826548,CV0004,4,1
2023_24,32353c5871fd012ee22f2baa3162937ec5694685771b4541e010d348da6e8880,3003826548,CV0004,8,1
2023_24,dcaf5ba9c5481496f19f0fe016b8a6c5d045ae3d6eb6a53cefb839b3822db6bb,3003826548,0180,10,1
2023_24,0e309130b0f41d59d5bc4328252b22af752ee70d43ea807b6759712cc1b20b7b,3003826548,CV0004,8,1
2023_24,0e309130b0f41d59d5bc4328252b22af752ee70d43ea807b6759712cc1b20b7b,3003826548,CV0004,9,FI
2023_24,54777d9c5c9da3d2806aa3d2d77c9fba407d74bbb5d339b4574f3b440c5bd842,3003826548,CV0004,8,1
2023_24,4a383b5943f400d5063f790e386445dc786759258c1e89b839615fc3603eb8bf,3003826548,0180,4,1
2023_24,3dc9692785218194781964c0974fcc1f1836e2c10b43163e397d96b972710e46,3003826548,CV0004,9,FI
2023_24,b59d79b7409f3190763a7bfd8f434e2a580d458ef81e89f7be4ff61e806a3a99,3003826548,0180,7,1
2023_24,15aa69afcca105a7913d03950085bbfbaf3b9e56c4d3a76005101adbf89bfbed,3003826548,CV0004,7,1
2023_24,dcaf5ba9c5481496f19f0fe016b8a6c5d045ae3d6eb6a53cefb839b3822db6bb,3003826548,0183,9,FI
2023_24,32353c5871fd012ee22f2baa3162937ec5694685771b4541e010d348da6e8880,3003826548,0183,8,FI
2023_24,d303b91d88d0c957856bb1cfda5de40743d30d047bdf607ab06c8ddc21bc4f6d,3003826548,0183,7,FI
2023_24,8c45e83ef8fa9c59758b5abffefbd112235630e6fcbcf58bd6b09c2efdaedf65,3003826548,0180,9,FI
2023_24,8c45e83ef8fa9c59758b5abffefbd112235630e6fcbcf58bd6b09c2efdaedf65,3003826548,0184,0,FI
2023_24,5541180f9d16b5dd16e1ea76c6aa546e19548d7ab575768a17c5ac2765df3343,3003826548,0178,8,FI
2023_24,343fb47715bc6cb72cebbf4321be451f837b85ef8ad3ab01a1df0ab44dae59ac,3003826548,0178,2,FI
2023_24,4a383b5943f400d5063f790e386445dc786759258c1e89b839615fc3603eb8bf,3003826548,0178,7,FI
2023_24,09bc61dd3165a0f9020531271b426ccd6b47f94417c807155da6e47e82aa58c1,3003826548,0178,0,FI
2023_24,b59d79b7409f3190763a7bfd8f434e2a580d458ef81e89f7be4ff61e806a3a99,3003826548,0178,7,FI
2023_24,3a33ccf27d195dadadaa05bb471c72e89437d7684e21bdfe66015b3201b6256f,3003826548,0176,8,FI
2023_24,d303b91d88d0c957856bb1cfda5de40743d30d047bdf607ab06c8ddc21bc4f6d,3003826548,0175,7,1
2023_24,4b859ef11d77fd574748609973fc72f168fd6e3277ddee463bc145e33bbe678a,3003826548,0175,4,1
2023_24,15aa69afcca105a7913d03950085bbfbaf3b9e56c4d3a76005101adbf89bfbed,3003826548,0184,0,FI
2023_24,197373bc179815a211504782de6f6d41f1cf8cbe6e8410d58cab8c5c8dd77869,3003826548,0178,6,1
2023_24,a96d9756199c6149c5bdae063852145f8f585d9ce02348a346ce17c22e3c9418,3003826548,0183,7,FI
2023_24,15aa69afcca105a7913d03950085bbfbaf3b9e56c4d3a76005101adbf89bfbed,3003826548,0183,7,FI
2023_24,706dd4b92a0fdc4241402d5808534ff3bb6d3b21d871ed7d1b2d09832623b5be,3003826541,0172,0,2
2023_24,706dd4b92a0fdc4241402d5808534ff3bb6d3b21d871ed7d1b2d09832623b5be,3003826541,0182,0,2
2023_24,706dd4b92a0fdc4241402d5808534ff3bb6d3b21d871ed7d1b2d09832623b5be,3003826541,0177,0,2
2023_24,363e2689eee0055234e31f8d73b573dbefa642a03782c9021cc044cfccbb14c9,3003826541,0173,0,1
2023_24,6270a0d60bcca97fb0caa8ee93286dec151db5536ed4e44a9bc96996e75c49fe,3003826541,0177,8,1
2023_24,3dde3c6b1c3d5a368074f51aaf08b0c14d201bf501a42ab49700e9ec5b49ce1c,3003826541,0174,2,1
2023_24,0b0c9c30cf9fa16a914c0643b820a67b4ae86dea1d33d944768a18292ae0598c,3003826541,0177,5,2
2023_24,166af4665fbbc796cbbfd65743f5fe533b5422d0814f590305d094af8582406d,3003826541,0173,0,FI
2023_24,166af4665fbbc796cbbfd65743f5fe533b5422d0814f590305d094af8582406d,3003826541,0174,4,1
2023_24,166af4665fbbc796cbbfd65743f5fe533b5422d0814f590305d094af8582406d,3003826541,0182,5,1
2023_24,40403543ca28910a205f6fbc75f6e098e25e92f248773ea1ff5732857fe1a54a,3003826541,0174,8,1
2023_24,a28e41f3901a74cd1584c82225cafc95017f70430c82aba4dd6870132adba52a,3003826541,0174,6,1
2023_24,a023b98cf93d6a313e036d137c60c3ff227c2fb3810510da55a749347a890db3,3003826541,0173,8,1
2023_24,a023b98cf93d6a313e036d137c60c3ff227c2fb3810510da55a749347a890db3,3003826541,0174,5,1
2023_24,22865518756d4bc821df87e6fe2901496212fb5bad8b7191b1a1d9ad93d6173f,3003826541,0173,8,1
2023_24,ad74abc10b0efde7cf62fa1b74cfea8cce9f2ac6ec9c6515d718e863ccc8bce0,3003826541,0174,0,1
2023_24,ad74abc10b0efde7cf62fa1b74cfea8cce9f2ac6ec9c6515d718e863ccc8bce0,3003826541,0182,1,1
2023_24,ad74abc10b0efde7cf62fa1b74cfea8cce9f2ac6ec9c6515d718e863ccc8bce0,3003826541,0177,0,2
2023_24,c53318b1713236644eb3a8fbad434134205482f92939bd7cdf4e8e5153c7ea0a,3003826541,0177,6,1
2023_24,c53318b1713236644eb3a8fbad434134205482f92939bd7cdf4e8e5153c7ea0a,3003826541,0177,0,2
2023_24,879fa2f832df0cee40397635e196dab609e4cdeadd15144d46880a93047114dc,3003826541,0173,7,FI
2023_24,879fa2f832df0cee40397635e196dab609e4cdeadd15144d46880a93047114dc,3003826541,0174,8,1
2023_24,40403543ca28910a205f6fbc75f6e098e25e92f248773ea1ff5732857fe1a54a,3003826541,CV0003,9,1
2023_24,0b0c9c30cf9fa16a914c0643b820a67b4ae86dea1d33d944768a18292ae0598c,3003826541,0179,4,1
2023_24,40403543ca28910a205f6fbc75f6e098e25e92f248773ea1ff5732857fe1a54a,3003826541,0179,9,1
2023_24,ad74abc10b0efde7cf62fa1b74cfea8cce9f2ac6ec9c6515d718e863ccc8bce0,3003826541,0179,0,1
2023_24,706dd4b92a0fdc4241402d5808534ff3bb6d3b21d871ed7d1b2d09832623b5be,3003826541,0171,0,2
2023_24,0b0c9c30cf9fa16a914c0643b820a67b4ae86dea1d33d944768a18292ae0598c,3003826541,CV0003,4,FI
2023_24,8359b00d028f9b09ea10e07867638e7c298bfe615e304caf8a1750e800c8b771,3003826541,CV0003,4,FI
2023_24,0b0c9c30cf9fa16a914c0643b820a67b4ae86dea1d33d944768a18292ae0598c,3003826541,0172,5,1
2023_24,166af4665fbbc796cbbfd65743f5fe533b5422d0814f590305d094af8582406d,3003826541,CV0003,4,2
2023_24,13711a9b4c1feea1b57246802cee5bc204189055b8eaa56840511e31a08250d5,3003826541,CV0003,6,2
