alumno,curso,contenido,nota_numerica,evaluacion
10706065,3306170521,028502,0,01
10706065,3306170521,028100,0,01
10762395,3306170521,028502,4,01
11000348,3306170521,028502,4,01
11116523,3306170521,028100,4,01
13615979,3306170619,0179,6,01
11802023,3306170521,028505,7,01
10932027,3306170521,028505,3,01
12237928,3306170521,028501,3,01
10795396,3306170521,028501,6,01
10964248,3306170521,028501,0,01
10914786,3306170521,028501,8,01
11128032,3306170521,028501,9,01
13377168,3306170521,028100,1,01
13598561,3306170521,028100,9,01
12691602,3306170521,028100,7,01
11106423,3306170521,028503,7,01
11512589,3306170521,028504,9,01
10839018,3306170521,028504,5,01
12379379,3306170521,028504,7,01
12623376,3306170521,028504,9,01
10914786,3306170521,028001,7,01
11014535,3306170521,028001,8,01
11030604,3306170521,028001,8,01
13598449,3306170521,028502,8,01
13598555,3306170521,028502,4,01
12623376,3306170521,028505,8,01
11014535,3306170521,028505,8,01
13518965,3306170521,028504,0,01
12051056,3306170521,028505,8,01
12795258,3306170521,028505,8,01
13446969,3306170521,028505,8,01
12451319,3306170521,028503,8,01
12649264,3306170619,1370,4,01
10920136,3306170619,1370,4,01
10914452,3306170619,1370,7,01
11082700,3306170619,1367,8,01
10889150,3306170619,0179,9,01
11312003,3306170619,0179,9,01
10301015,3306170619,0179,4,01
10892991,3306170619,0179,8,01
10916992,3306170619,0179,4,01
10769318,3306170619,1367,4,01
10301015,3306170619,1367,7,01
10786265,3306170619,1367,7,01
13595058,3306170619,1367,7,01
13594581,3306170619,1369,6,01
11620907,3306170619,1369,7,01
10884022,3306170619,1709,9,01
10884022,3306170619,0179,10,01
10909929,3306170619,0179,8,01
10884022,3306170619,1368,9,01
10784831,3306170619,1368,3,01
10714135,3306170619,1368,4,01
10735252,3306170619,1368,6,01
10706077,3306170619,1370,6,01
10784831,3306170619,1375p,0,01
11337604,3306170619,1375p,10,01
10911185,3306170619,1370,8,01
13615979,3306170619,1370,4,01
13598749,3306170619,1369,4,01
10659496,3306170619,1375p,10,01
12413993,3306172484,0171,1,01
13551232,3306172484,0181p,0,01
12561340,3306172484,0172,3,01
10843015,3306172484,0172,9,01
13593119,3306172484,0172,8,01
13598131,3306172484,1709,0,01
13598131,3306172484,0173,0,01
13593122,3306172484,0172,9,01
10843015,3306172484,0179,5,01
10581374,3306172484,0177,10,01
10895710,3306172332,0384,7,01
13460187,3306172332,0400p,0,01
10801931,3306172484,0174,4,01
10843015,3306172484,0174,4,01
13445476,3306172332,0179,6,01
11515797,3306172332,0173,8,01
10902331,3306172403,0171,9,01
10892142,3306172403,0171,9,01
10025712,3306172403,0179,8,01
10892142,3306172403,0179,6,01
10652392,3306172403,0179,0,01
11702324,3306172403,0388p,7,01
10790903,3306172403,0388p,8,01
11702324,3306172403,0172,7,01
10790903,3306172403,0172,9,01
12813996,3306172403,0173,0,01
10790903,3306172403,0173,8,01
13604001,3306172403,0383,4,01
10654915,3306172053,1231,0,01
11120345,3306172053,1231,3,01
11001838,3306172053,0156,0,01
10996182,3306172053,1233,6,01
11120345,3306172053,1232,3,01
11036037,3306172053,1232,3,01
11433993,3306172053,1232,0,01
11114298,3306172053,1709,6,01
11433993,3306172053,1709,7,01
10866312,3306172167,1010,4,01
10894622,3306172167,1010,8,01
12561661,3306172167,1010,4,01
10883924,3306172167,1010,7,01
13598677,3306172167,0179,0,01
13598103,3306172167,0179,0,01
10197921,3306172167,0623,0,01
10436333,3306172167,0623,2,01
10526778,3306172167,0623,9,01
10250031,3306172167,1012p,9,01
10932819,3306172167,1010,0,01
10315581,3306172167,1010,0,01
10730207,3306172167,1010,6,01
10526778,3306172167,1010,7,01
10883675,3306172167,1012p,9,01
10730721,3306172167,0930,7,01
10835229,3306172167,0930,2,01
10487345,3306172167,0930,4,01
12500676,3306172167,0623,5,01
10742412,3306172167,0179,4,01
12152515,3306172167,0179,10,01
10932250,3306172167,0179,7,01
12557620,3306172167,0931,9,01
11313275,3306172167,0931,9,01
10416632,3306172167,0931,8,01
10893829,3306172167,0930,7,01
10961331,3306172135,0622,8,01
13593226,3306172135,0622,4,01
10885568,3306172135,0622,6,01
10884465,3306172135,0622,6,01
10761942,3306172135,0627,6,01
11744036,3306172135,0627,8,01
13593226,3306172135,0627,3,01
11744036,3306172135,0828p,7,01
13593226,3306172135,0828p,7,01
10027352,3306172135,0828p,6,01
11709509,3306172135,0623,8,01
10762386,3306172135,0623,3,01
10885568,3306172135,0623,7,01
10027352,3306172135,0623,8,01
12722909,3306172135,0179,9,01
10687998,3306169433,243264,7,01
10680218,3306169433,243266,9,01
10837040,3306169433,243266,0,01
10366184,3306169433,243267,0,01
10645924,3306169433,243265,4,01
13448029,3306169440,243602,8,01
13467527,3306169440,243604,6,01
13447274,3306169440,243271,9,01
10925591,3306173997,1709,5,01
13594604,3306173997,0438,9,01
12257970,3306173997,0438,7,01
11109924,3306173997,1709,9,01
10270606,3306169593,0156,9,01
10679709,3306174046,1665001,7,01
10711948,3306174046,1665001,7,01
11388211,3306172133,CVOPT,7,01
12406107,3306173997,1709,6,01
13626945,3306173997,1709,8,01
10847700,3306173997,1709,8,01
10730721,3306172167,1709,8,01
10730207,3306172167,1012p,8,01
10214849,3306172167,0931,0,01
11029676,3306173997,0156,10,01
10899529,3306173997,0156,7,01
11138087,3306173997,0156,8,01
11168289,3306173997,0156,5,01
11336870,3306173997,0441,9,01
11347134,3306173997,0156,4,01
10421015,3306173997,0156,0,01
10747126,3306173997,0441,10,01
10931052,3306173997,0441,9,01
13134429,3306173997,0438,7,01
10633944,3306173997,0439,7,01
10352292,3306173997,0439,0,01
12647763,3306173997,0437,0,02
10352292,3306173997,0437,0,01
11041555,3306173997,0438,7,01
11041555,3306173997,0440,7,01
13510854,3306174048,0650,9,01
13593239,3306174048,0650,4,01
13597020,3306174048,0648,0,01
12859504,3306174048,0647,8,01
10926432,3306174048,0647,8,01
13597527,3306174048,0647,4,01
12788547,3306174048,0647,6,01
11802825,3306174048,0651,6,01
13455395,3306174048,0651,6,01
11664368,3306174048,0651,6,01
10243668,3306174048,0649,7,01
10730016,3306174048,1709,0,01
10730016,3306174048,0649,2,01
12788547,3306174048,0649,6,01
10840996,3306174048,0657p,8,01
10793462,3306174048,0657p,8,01
10904320,3306174048,0657p,7,01
13596949,3306174048,0651,0,01
10662076,3306174048,0657p,7,01
13298754,3306174048,0657p,0,01
10511438,3306174048,0657p,0,01
10991644,3306174048,0657p,7,01
10707710,3306174048,0648,8,01
10904320,3306174048,0648,6,01
10025322,3306174048,1709,0,01
11552430,3306174048,0651,6,01
13597527,3306174048,0648,4,01
13542655,3306174048,0179,10,01
13542655,3306174048,0649,9,01
10511438,3306174048,0179,0,01
10840806,3306174048,0179,7,01
10924358,3306174048,0179,4,01
10762396,3306174048,1709,9,01
10709630,3306174048,1709,8,01
10779855,3306174048,0179,8,01
10928705,3306169744,0179,9,01
10896459,3306169744,0179,9,01
10921245,3306169744,0370,8,01
10900148,3306169744,0379p,10,01
10912321,3306169744,0379p,9,01
11226702,3306169744,0371,8,01
10912223,3306169744,0371,8,01
10914721,3306169744,0373,6,01
10679710,3306169651,0487,7,01
11898422,3306169651,0487,0,01
13232436,3306169651,0487,2,01
10418675,3306169651,0484,9,01
10803070,3306169651,0484,8,01
10904666,3306169651,0484,7,01
10427570,3306169651,1709,0,01
10440723,3306169651,1709,0,01
13593151,3306169651,0487,6,01
10382149,3306169651,0487,10,01
10472185,3306169651,0487,10,01
10246766,3306169651,0484,4,01
10382149,3306169651,0484,6,01
11061166,3306169651,0484,0,01
10308422,3306169651,0485,7,01
10382149,3306169651,0485,4,01
13458925,3306169651,0485,7,01
11049333,3306169651,0485,7,01
10398479,3306169651,0485,9,01
10837080,3306169651,0483,9,01
10888617,3306169651,0483,9,01
12876207,3306169651,0483,0,01
10299132,3306169651,0483,0,01
10310048,3306169651,0483,9,01
13593175,3306169651,0373,0,01
10463301,3306169651,0616p,9,01
10310048,3306169651,0616p,9,01
11318786,3306169651,0616p,0,01
12395762,3306169651,0616p,7,01
10709604,3306169658,1708190,10,01
10718934,3306169658,1708190,9,01
10635824,3306169658,1708190,8,01
10635513,3306169658,1708190,4,01
13232436,3306169651,0373,4,01
10398479,3306169651,0373,8,01
10832166,3306169651,0373,8,01
10756981,3306169651,0179,7,01
10888617,3306169651,0616p,10,01
13360681,3306169593,0223,8,01
13288296,3306169593,0223,9,01
13546750,3306169593,0223,7,01
10705918,3306169593,0223,7,01
10437587,3306169593,0223,4,01
13513975,3306169593,0225,9,01
13358627,3306169593,0225,0,01
11134533,3306169593,1709,10,01
11134533,3306169593,0156,9,01
11113596,3306169593,0221,7,01
10705603,3306169593,1709,8,01
13598530,3306169593,1709,7,01
10437587,3306169593,1709,8,01
10705918,3306169593,0222,4,01
12651696,3306169593,0221,0,01
10917865,3306169591,0227,7,01
11622314,3306169591,0227,7,01
11020732,3306169591,0227,4,01
10812899,3306169591,1710,8,01
10708167,3306169591,0228,8,01
11035843,3306169591,0228,1,01
11002913,3306169591,CVOPT,10,01
10903261,3306169591,CVOPT,8,01
11146537,3306169591,0224,10,01
11000271,3306169591,0224,8,01
11622314,3306169591,1664190,9,01
11011197,3306169591,1664190,10,01
10776723,3306169591,1664190,8,01
10903261,3306169591,1664190,10,01
12472787,3306169591,1664190,7,01
11029392,3306169591,1708190,8,01
10762368,3306169751,0376,9,01
10652371,3306169751,0376,7,01
10910600,3306169751,0377,6,01
13456011,3306169751,0377,8,01
10757735,3306169751,0379s,8,01
10783280,3306169751,0379s,10,01
12744964,3306172060,1664020,5,01
10805007,3306172060,1664020,5,01
10757735,3306169751,1710,8,01
10737949,3306169751,1708190,8,01
10849397,3306169751,1665190,10,01
10783280,3306169751,1665190,9,01
10813139,3306169751,1665190,9,01
10849397,3306169751,0378,8,01
10840811,3306169751,0378,7,01
10783280,3306169751,0378,6,01
10840811,3306169751,0374,9,01
10764453,3306169751,CVOPT,9,01
10282899,3306169658,1665190,7,01
10282899,3306169658,1710,8,01
10772126,3306169658,1710,7,01
10797348,3306169658,0616s,9,01
10772126,3306169658,0616s,7,01
10711924,3306169658,0616s,5,01
10770657,3306169658,0614,6,01
10772126,3306169658,0614,8,01
10807600,3306169658,0615,6,01
10709604,3306169658,0615,1,01
10688878,3306169658,0615,8,01
10797980,3306169658,0615,4,01
10711924,3306169658,0615,4,01
10770964,3306169658,CVOPT,8,01
10688878,3306169658,CVOPT,9,01
10770964,3306169658,0612,10,01
10810051,3306169658,0612,1,01
10635513,3306169658,0613,5,01
10882393,3306169658,0613,6,01
10799612,3306170617,CVOPT,10,01
10799612,3306170617,1375s,10,01
10770501,3306170617,1375s,9,01
10026298,3306170617,1708061,10,01
10688361,3306170617,1708061,10,01
10819488,3306170617,1708061,10,01
10026298,3306170617,1374,6,01
10515381,3306170617,1374,6,01
10783707,3306170617,1373,9,01
10413312,3306170617,1373,8,01
10687463,3306170617,1373,7,01
11649375,3306170617,1373,9,01
10835968,3306170617,1372,7,01
10734128,3306170617,1372,10,01
10666170,3306170617,1372,8,01
13242092,3306170617,1372,8,01
10742238,3306170617,1708061,7,01
10865703,3306170617,1374,4,01
10282118,3306170617,1374,10,01
10666170,3306170617,1374,7,01
10687463,3306170617,1374,8,01
10122344,3306170617,1373,10,01
10842025,3306170617,1373,8,01
10786004,3306170617,1371,4,01
13242092,3306170617,1371,8,01
13273466,3306170617,CVOPT,8,01
10776515,3306170617,1375s,5,01
11104411,3306170617,1375s,5,01
10652580,3306170617,1375s,5,01
10798915,3306170617,1375s,5,01
10515381,3306170617,1375s,5,01
10687463,3306170617,1665061,9,01
13462544,3306170617,1708061,7,01
11671982,3306173995,0442,7,01
11004486,3306173995,0442,10,01
10960990,3306173995,0442,9,01
11039273,3306173995,0442,8,01
11666166,3306173995,0442,7,01
10911748,3306173995,1708001,9,01
10787257,3306173995,CVOPT,7,01
11027361,3306173995,CVOPT,8,01
10929818,3306173995,CVOPT,10,01
10960990,3306173995,0443,7,01
11043785,3306173995,0443,5,01
10835299,3306173995,0448,3,01
10787655,3306173995,0448,3,01
11027361,3306173995,1664001,10,01
10787655,3306173995,1664001,8,01
10819061,3306174046,0654,9,01
