codigo,nombre_cas,padre
3315198130,INTELIGENCIA ARTIFICIAL Y BIG DATA (LFP),3306169527
3315802123,Primero CE,3315195494
3306172195,COMERCIO INTERNACIONAL (LOE),3306172129
3306172197,Segundo,3306172195
3306172205,Primero,3306172195
3306172238,MARKETING Y PUBLICIDAD,3306172129
3306172240,Primero,3306172238
3306172247,Segundo,3306172238
3306172290,HOSTELERÍA Y TURISMO, 
3306172438,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS,3306172317
3306172440,Primero,3306172438
3306172447,Segundo,3306172438
3306172459,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICAS",3306172317
3306172461,Primero,3306172459
3306172468,Segundo,3306172459
3306172480,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS (LFP),3306172317
3306172482,Segundo,3306172480
3306172484,Primero,3306172480
3306169525,INFORMÁTICA Y COMUNICACIONES, 
3306169527,CURSO ESPECIALIZACIÓN,3306169525
3306169587,GRADO MEDIO,3306169525
3306169589,SISTEMAS MICROINFORMÁTICOS Y REDES (LFP),3306169587
3306169591,Segundo,3306169589
3306169593,Primero,3306169589
3306169605,SISTEMAS MICROINFORMÁTICOS Y REDES,3306169587
3306169607,Primero,3306169605
3306169614,Segundo,3306169605
3306169631,GRADO SUPERIOR,3306169525
3306169633,DESARROLLO DE APLICACIONES MULTIPLATAFORMA (LFP),3306169631
3306169635,Segundo,3306169633
3306169637,Primero,3306169633
3306169649,DESARROLLO DE APLICACIONES WEB (LFP),3306169631
3306169651,Primero,3306169649
3306169658,Segundo,3306169649
3306169665,DESARROLLO DE APLICACIONES WEB,3306169631
3306169667,Segundo,3306169665
3306169674,Primero,3306169665
3306169693,DESARROLLO DE APLICACIONES MULTIPLATAFORMA,3306169631
3306169695,Primero,3306169693
3306169702,Segundo,3306169693
3306169714,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED,3306169631
3306173908,ADMINISTRACIÓN Y GESTIÓN, 
3306173991,GRADO MEDIO,3306173908
3306169723,Primero,3306169714
3306169730,Segundo,3306169714
3306169742,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED (LFP),3306169631
3306169744,Primero,3306169742
3306169751,Segundo,3306169742
3306173993,GESTIÓN ADMINISTRATIVA (LFP),3306173991
3306173995,Segundo,3306173993
3306173997,Primero,3306173993
3306174009,GESTIÓN ADMINISTRATIVA (LOE),3306173991
3306174011,Primero,3306174009
3306174018,Segundo,3306174009
3306174042,GRADO SUPERIOR,3306173908
3306174044,ADMINISTRACIÓN Y FINANZAS (LFP),3306174042
3306174046,Segundo,3306174044
3306174048,Primero,3306174044
3306174097,ADMINISTRACIÓN Y FINANZAS (LOE),3306174042
3306174099,Segundo,3306174097
3306174106,Primero,3306174097
3306169091,FABRICACIÓN MECÁNICA, 
3306170441,SANIDAD, 
3306170443,GRADO MEDIO,3306170441
3306171954,COMERCIO Y MARKETING, 
3306171956,CURSO ESPECIALIZACIÓN,3306171954
3306171965,REDACCIÓN DE CONTENIDOS DIGITALES PARA MARKETING Y VENTAS (LFP),3306171956
3306170519,CUIDADOS AUXILIARES DE ENFERMERÍA,3306170443
3306170521,Primero,3306170519
3306170528,Segundo,3306170519
3306170552,GRADO SUPERIOR,3306170441
3306171967,Primero CE,3306171965
3306172317,GRADO SUPERIOR,3306172290
3306172328,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),3306172317
3306172330,Segundo,3306172328
3306172332,Primero,3306172328
3306169356,GRADO SUPERIOR,3306169091
3306170615,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),3306170552
3306170617,Segundo,3306170615
3306170619,Primero,3306170615
3306172049,GRADO MEDIO,3306171954
3306172051,ACTIVIDADES COMERCIALES (LFP),3306172049
3306172053,Primero,3306172051
3306172060,Segundo,3306172051
3306172103,ACTIVIDADES COMERCIALES,3306172049
3306172364,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,3306172317
3306172366,Primero,3306172364
3306172373,Segundo,3306172364
3306172401,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",3306172317
3306172403,Primero,3306172401
3306172410,Segundo,3306172401
3306169431,ÓPTICA DE ANTEOJERÍA,3306169356
3306169433,Primero,3306169431
3306169440,Segundo,3306169431
3306170710,LABORATORIO CLÍNICO Y BIOMÉDICO,3306170552
3306170712,Primero,3306170710
3306170719,Segundo,3306170710
3306172105,Primero,3306172103
3306172112,Segundo,3306172103
3306172129,GRADO SUPERIOR,3306171954
3306172131,COMERCIO INTERNACIONAL (LFP),3306172129
3306172133,Segundo,3306172131
3306172135,Primero,3306172131
3306172163,MARKETING Y PUBLICIDAD (LFP),3306172129
3306172165,Segundo,3306172163
3306172167,Primero,3306172163
3315195494,CIBERSEGURIDAD EN ENTORNOS DE LAS TECNOLOGÍAS DE LA INFORMACIÓN (LFP),3306169527
3315804631,Primero CE,3315198130
3306202433,HOSTELERÍA Y TURISMO, 
3306202435,OPERACIONES BÁSICAS DE PISOS EN ALOJAMIENTOS,3306202433
