codigo,nombre_cas,padre
3228410892,Primero,3227301117
3228413080,Primero,3226406297
3228413382,Primero,3226408017
3225429691,GESTIÓN ADMINISTRATIVA (LFP),3162079674
3225431334,ADMINISTRACIÓN Y FINANZAS (LFP),3162079737
3225447205,ACTIVIDADES COMERCIALES (LFP),3162077459
3226405353,SISTEMAS MICROINFORMÁTICOS Y REDES (LFP),3162079904
3228410357,Primero,3227299518
3225450098,COMERCIO INTERNACIONAL (LFP),3162077526
3225452276,MARKETING Y PUBLICIDAD (LFP),3162077526
3226407569,DESARROLLO DE APLICACIONES MULTIPLATAFORMA (LFP),3162079953
3226408017,DESARROLLO DE APLICACIONES WEB (LFP),3162079953
3226420481,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),3162075463
3228379385,Primero,3225429691
3228381273,Primero,3225447205
3228406545,Primero,3225450098
3227299518,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),3162075939
3228404816,Primero,3225431334
3162078271,FABRICACIÓN MECÁNICA, 
3162079790,Segundo,3162079788
3162079797,Primero,3162079788
3162079854,INFORMÁTICA Y COMUNICACIONES, 
3162079856,CURSO ESPECIALIZACIÓN,3162079854
3162079858,CIBERSEGURIDAD EN ENTORNOS DE LAS TECNOLOGÍAS DE LA INFORMACIÓN,3162079856
3162079860,Primero CE,3162079858
3162079872,INTELIGENCIA ARTIFICIAL Y BIG DATA,3162079856
3162079874,Primero CE,3162079872
3162079904,GRADO MEDIO,3162079854
3162079927,SISTEMAS MICROINFORMÁTICOS Y REDES,3162079904
3162079929,Primero,3162079927
3162079936,Segundo,3162079927
3162079953,GRADO SUPERIOR,3162079854
3162079955,DESARROLLO DE APLICACIONES WEB,3162079953
3162079957,Segundo,3162079955
3162079965,Primero,3162079955
3162078516,GRADO SUPERIOR,3162078271
3162079984,DESARROLLO DE APLICACIONES MULTIPLATAFORMA,3162079953
3162079986,Primero,3162079984
3162079993,Segundo,3162079984
3162080054,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED,3162079953
3228406931,Primero,3225452276
3162078582,ÓPTICA DE ANTEOJERÍA,3162078516
3162078584,Primero,3162078582
3162078591,Segundo,3162078582
3162080064,Primero,3162080054
3162080071,Segundo,3162080054
3162075362,SANIDAD, 
3162075364,GRADO MEDIO,3162075362
3162075409,CUIDADOS AUXILIARES DE ENFERMERÍA,3162075364
3162075411,Primero,3162075409
3162075418,Segundo,3162075409
3162075463,GRADO SUPERIOR,3162075362
3162075530,LABORATORIO CLÍNICO Y BIOMÉDICO,3162075463
3162075532,Primero,3162075530
3162075539,Segundo,3162075530
3162077408,COMERCIO Y MARKETING, 
3162077459,GRADO MEDIO,3162077408
3162075916,HOSTELERÍA Y TURISMO, 
3162077479,ACTIVIDADES COMERCIALES,3162077459
3162077481,Primero,3162077479
3162077488,Segundo,3162077479
3162077526,GRADO SUPERIOR,3162077408
3162077549,COMERCIO INTERNACIONAL (LOE),3162077526
3162077551,Segundo,3162077549
3162077558,Primero,3162077549
3226406297,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED (LFP),3162079953
3162075939,GRADO SUPERIOR,3162075916
3162076026,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,3162075939
3162076028,Primero,3162076026
3162077591,MARKETING Y PUBLICIDAD,3162077526
3162077593,Primero,3162077591
3162077600,Segundo,3162077591
3227301117,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",3162075939
3162076035,Segundo,3162076026
3162076089,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS,3162075939
3162076091,Primero,3162076089
3162076098,Segundo,3162076089
3162076110,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICAS",3162075939
3162076112,Primero,3162076110
3162076119,Segundo,3162076110
3228190451,Primero,3226407569
3228390016,Primero,3226405353
3228410748,Primero,3226998664
3226998664,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS (LFP),3162075939
3228415772,Primero,3226420481
3162079623,ADMINISTRACIÓN Y GESTIÓN, 
3162079674,GRADO MEDIO,3162079623
3162079704,GESTIÓN ADMINISTRATIVA (LOE),3162079674
3162079706,Primero,3162079704
3162079713,Segundo,3162079704
3162079737,GRADO SUPERIOR,3162079623
3162079788,ADMINISTRACIÓN Y FINANZAS (LOE),3162079737
3162109498,HOSTELERÍA Y TURISMO, 
3162109500,OPERACIONES BÁSICAS DE PISOS EN ALOJAMIENTOS,3162109498
