anyo,codigo,nombre_cas,padre
2025_26,3315198130,INTELIGENCIA ARTIFICIAL Y BIG DATA (LFP),3306169527
2025_26,3315802123,Primero CE,3315195494
2025_26,3306172195,COMERCIO INTERNACIONAL (LOE),3306172129
2025_26,3306172197,Segundo,3306172195
2025_26,3306172205,Primero,3306172195
2025_26,3306172238,MARKETING Y PUBLICIDAD,3306172129
2025_26,3306172240,Primero,3306172238
2025_26,3306172247,Segundo,3306172238
2025_26,3306172290,HOSTELERÍA Y TURISMO,
2025_26,3306172438,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS,3306172317
2025_26,3306172440,Primero,3306172438
2025_26,3306172447,Segundo,3306172438
2025_26,3306172459,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICAS",3306172317
2025_26,3306172461,Primero,3306172459
2025_26,3306172468,Segundo,3306172459
2025_26,3306172480,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS (LFP),3306172317
2025_26,3306172482,Segundo,3306172480
2025_26,3306172484,Primero,3306172480
2025_26,3306169525,INFORMÁTICA Y COMUNICACIONES,
2025_26,3306169527,CURSO ESPECIALIZACIÓN,3306169525
2025_26,3306169587,GRADO MEDIO,3306169525
2025_26,3306169589,SISTEMAS MICROINFORMÁTICOS Y REDES (LFP),3306169587
2025_26,3306169591,Segundo,3306169589
2025_26,3306169593,Primero,3306169589
2025_26,3306169605,SISTEMAS MICROINFORMÁTICOS Y REDES,3306169587
2025_26,3306169607,Primero,3306169605
2025_26,3306169614,Segundo,3306169605
2025_26,3306169631,GRADO SUPERIOR,3306169525
2025_26,3306169633,DESARROLLO DE APLICACIONES MULTIPLATAFORMA (LFP),3306169631
2025_26,3306169635,Segundo,3306169633
2025_26,3306169637,Primero,3306169633
2025_26,3306169649,DESARROLLO DE APLICACIONES WEB (LFP),3306169631
2025_26,3306169651,Primero,3306169649
2025_26,3306169658,Segundo,3306169649
2025_26,3306169665,DESARROLLO DE APLICACIONES WEB,3306169631
2025_26,3306169667,Segundo,3306169665
2025_26,3306169674,Primero,3306169665
2025_26,3306169693,DESARROLLO DE APLICACIONES MULTIPLATAFORMA,3306169631
2025_26,3306169695,Primero,3306169693
2025_26,3306169702,Segundo,3306169693
2025_26,3306169714,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED,3306169631
2025_26,3306173908,ADMINISTRACIÓN Y GESTIÓN,
2025_26,3306173991,GRADO MEDIO,3306173908
2025_26,3306169723,Primero,3306169714
2025_26,3306169730,Segundo,3306169714
2025_26,3306169742,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED (LFP),3306169631
2025_26,3306169744,Primero,3306169742
2025_26,3306169751,Segundo,3306169742
2025_26,3306173993,GESTIÓN ADMINISTRATIVA (LFP),3306173991
2025_26,3306173995,Segundo,3306173993
