codigo,nombre_cas,curso
1709,Itinerario personal para la empleabilidad I,3228410892
0388p,"Proyecto intermodular 1 de Guía, información y asistencia turísticas",3228410892
TU01CF,Tutoría Primero,3228410892
0179,Inglés profesional GS,3228410892
0171,Estructura del mercado turístico,3228410892
0383,Destinos turísticos ,3228410892
0384,Recursos turísticos ,3228410892
0172,Protocolo y relaciones públicas,3228410892
0173,Marketing turístico,3228410892
1709,Itinerario personal para la empleabilidad I,3228413080
0379p,Proyecto intermodular 1 de Administración de Sistemas Informáticos en Red,3228413080
TU01CF,Tutoría Primero,3228413080
0179,Inglés profesional GS,3228413080
0370,Planificación y Administración de Redes,3228413080
0373,Lenguajes de marcas y sistemas de gestión de información,3228413080
0371,Fundamentos de Hardware,3228413080
0372,Gestión de Bases de Datos,3228413080
0369,Implantación de Sistemas Operativos,3228413080
1709,Itinerario personal para la empleabilidad I,3228413382
0616p,Proyecto intermodular 1 de Desarrollo de aplicaciones WEB,3228413382
TU01CF,Tutoría Primero,3228413382
0179,Inglés profesional GS,3228413382
0373,Lenguajes de marcas y sistemas de gestión de información,3228413382
0487,Entornos de desarrollo,3228413382
0485,Programación,3228413382
0484,Bases de Datos,3228413382
0483,Sistemas informáticos,3228413382
1709,Itinerario personal para la empleabilidad I,3228410357
0400p,Proyecto intermodular 1 de Agencias de viajes,3228410357
TU01CF,Tutoría Primero,3228410357
0179,Inglés profesional GS,3228410357
0171,Estructura del mercado turístico,3228410357
0383,Destinos turísticos ,3228410357
0384,Recursos turísticos ,3228410357
0172,Protocolo y relaciones públicas,3228410357
0173,Marketing turístico,3228410357
1709,Itinerario personal para la empleabilidad I,3228379385
TU01CF,Tutoría Primero,3228379385
0437,Comunicación empresarial y atención al cliente,3228379385
0441,Técnica contable,3228379385
0439,Empresa y administración,3228379385
0438,Operaciones administrativa de compra-venta,3228379385
0440,Tratamiento informático de la información ,3228379385
0156,Inglés profesional GM,3228379385
1709,Itinerario personal para la empleabilidad I,3228381273
TU01CF,Tutoría Primero,3228381273
0156,Inglés profesional GM,3228381273
