anyo,codigo,nombre_cas,curso
2025_26,5021,Incidentes de ciberseguridad,3315802123
2025_26,5022,Bastionado de redes y sistemas,3315802123
2025_26,5023,Puesta en producción segura,3315802123
2025_26,5024,Análisis forense informático,3315802123
2025_26,5025,Hacking ético,3315802123
2025_26,5026,Normativa de ciberseguridad,3315802123
2025_26,TU02CF,Tutoría Segundo,3306172197
2025_26,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306172197
2025_26,0825,Financiación internacional,3306172197
2025_26,0823,Marketing internacional,3306172197
2025_26,0827,Comercio digital internacional,3306172197
2025_26,0822,Sistema de información de mercados,3306172197
2025_26,0824,Negociación internacional,3306172197
2025_26,0830,Formación en Centros de Trabajo,3306172197
2025_26,0826,Medios de pago internacionales,3306172197
2025_26,0828,Proyecto de comercio internacional,3306172197
2025_26,CV0010,Empresas simuladas. Herramientas informáticas de la Comunidad Portuaria,3306172197
2025_26,TU01CF,Tutoría Primero,3306172205
2025_26,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306172205
2025_26,0179,Inglés profesional GS,3306172205
2025_26,0622,Transporte internacional de mercancías,3306172205
2025_26,0829,Formación y orientación laboral.,3306172205
2025_26,0625,Logística de almacenamiento,3306172205
2025_26,0623,Gestión económica y financiera de la empresa,3306172205
2025_26,0627,Gestión administrativa del comercio internacional,3306172205
2025_26,CV0008,Ofimática y proceso de la información en el comercio internacional,3306172205
2025_26,CV0009,Gestión portuaria,3306172205
2025_26,TU01CF,Tutoría Primero,3306172240
2025_26,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306172240
2025_26,0179,Inglés profesional GS,3306172240
2025_26,0623,Gestión económica y financiera de la empresa,3306172240
2025_26,0930,Políticas de marketing,3306172240
2025_26,0931,Marketing digital,3306172240
2025_26,1010,Investigación comercial,3306172240
2025_26,1014,Formación y orientación laboral,3306172240
2025_26,TU02CF,Tutoría Segundo,3306172247
2025_26,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306172247
2025_26,1007,Diseño y elaboración de material de comunicación,3306172247
2025_26,1008,Medios y soportes de comunicación,3306172247
2025_26,1009,Relaciones públicas y organización de eventos de marketing,3306172247
2025_26,1011,Trabajo de campo en la investigación comercial,3306172247
2025_26,1109,Lanzamiento de productos y servicios,3306172247
2025_26,1110,"Atención al cliente, consumidor y usuario",3306172247
2025_26,1012,Proyecto de marketing y publicidad,3306172247
2025_26,1013,Formación en centros de trabajo,3306172247
2025_26,TU01CF,Tutoría Primero,3306172440
2025_26,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306172440
2025_26,0179,Inglés profesional GS,3306172440
2025_26,0401,Formación y Orientación Laboral,3306172440
2025_26,0171,Estructura del mercado turístico,3306172440
2025_26,0383,Destinos turísticos,3306172440
2025_26,0384,Recursos turísticos,3306172440
2025_26,0172,Protocolo y relaciones públicas,3306172440
2025_26,0173,Marketing turístico,3306172440
2025_26,TU02CF,Tutoría Segundo,3306172447
2025_26,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306172447
2025_26,0398,Venta de servicios turísticos,3306172447
2025_26,0180,Segunda lengua extranjera,3306172447
2025_26,0403,Formación en Centros de Trabajo,3306172447
